MTR-SN,Coeff-A,Coeff-B,Coeff-C,Calibration Date,comments,Cal. Residual,comments,,
3122,1.0760315467E-03,5.4458136352E-04,2.0592372367E-06,2014-01-21,TB114021,-0.0020,,,
3122,1.0555819421E-03,5.5166340616E-04,1.9330539971E-06,2013-04-17,TB113107,0.0011,,,
3122,1.1160765089E-03,5.3090557494E-04,2.2970126874E-06,2010-02-01,TB110032,-0.0008,,,
3122,1.1035112703E-03,5.3536093783E-04,2.2146066535E-06,2006-07-06,TB106187,-0.0008,,,
3138,1.0546375061E-03,5.4614834490E-04,1.9951024106E-06,2014-01-21,TB114021,-0.0014,,,
3138,1.0411853928E-03,5.5073955379E-04,1.9157481929E-06,2013-04-17,TB113107,-0.0014,,,
3138,1.1039363507E-03,5.2932950520E-04,2.2870091778E-06,2010-02-03,TB110034,0.0016,,,
3138,1.0798095747E-03,5.3772849342E-04,2.1359837853E-06,2006-07-06,TB106187,-0.0009,,,
3142,1.0555227449E-03,5.4291177977E-04,2.0492774447E-06,2002-01-19,TB102019,0.0010,,,
3167,1.0796138609E-03,5.4243965452E-04,2.0694822017E-06,2013-04-19,TB113019,-0.0008,,,
3180,1.0468885710E-03,5.5244057014E-04,1.9183033417E-06,2013-04-17,TB113107,0.0021,,,
3180,1.1246882239E-03,5.2580003588E-04,2.3831781353E-06,2010-02-03,TB110034,0.0015,,,
3180,1.0890982621E-03,5.3820472616E-04,2.1595838721E-06,2006-07-06,TB106187,0.0009,,,
3180,1.0590872700E-03,5.4855902302E-04,1.9766391535E-06,2003-08-08,TB103220,0.0020,,,
3180,1.0413044454E-03,5.5458290070E-04,1.8769688528E-06,2002-01-19,TB102019,-0.0010,,,
3194,1.0080511057E-03,5.6778748826E-04,1.6128039746E-06,2012-01-23,TB112023,0.0010,,,
3194,1.0998289802E-03,5.3617560823E-04,2.1712978400E-06,2010-02-01,TB110032,-0.0016,,,
3194,1.0971662200E-03,5.3725576339E-04,2.1462896909E-06,2006-06-30,TB106174,0.0013,,,
3200,1.1150421210E-03,5.3208789937E-04,2.2413728004E-06,2006-06-30,TB106174,-0.0008,,,
3200,1.0330764527E-03,5.6019797033E-04,1.7508765579E-06,2004-05-17,TB104139,-0.0013,,,
3200,1.0907869750E-03,5.4027140727E-04,2.1026377529E-06,2004-01-29,TB104030,-0.0011,,,
3200,1.0936023177E-03,5.3943449082E-04,2.1130602999E-06,2003-01-09,,-0.0007,,,
3200,1.0495025968E-03,5.5471390394E-04,1.8435469803E-06,2002-04-01,TB102100,0.0033,,,
3202,1.0618902220E-03,5.4817881071E-04,1.9662368718E-06,2013-04-17,TB113107,-0.0013,,,
3202,1.0842824802E-03,5.4052412761E-04,2.0983671767E-06,2011-07-21,TB104091,-0.0007,,,
3202,1.1118789234E-03,5.3105550449E-04,2.2659539776E-06,2010-02-01,TB110032,-0.0007,23-Apr-05,,
3202,1.1042459581E-03,5.3381242985E-04,2.2127768740E-06,2006-06-30,TB106174,0.0005,,,
3202,1.0722136512E-03,5.4482383948E-04,2.0191671373E-06,2004-03-30,TB104091,-0.0022,,,
3202,1.0533222744E-03,5.5136513747E-04,1.9032276892E-06,1999-03-24,TB103084,-0.0014,,,
3217,1.0687907125E-03,5.4767611001E-04,1.9966447730E-06,2003-08-08,TB103220,-0.0007,2¡ C reading not used to calc residuals,,
3217,1.0843181648E-03,5.4224366259E-04,2.0996470837E-06,2001-10-01,TB101243,0.0023,,,
3251,1.0417929183E-03,5.5126365686E-04,1.8859167384E-06,2013-04-17,TB113107,-0.0022,,,
3251,1.0698764316E-03,5.4168666241E-04,2.0505721524E-06,2011-07-21,TB104091,-0.0005,,,
3251,1.1033807571E-03,5.3025115426E-04,2.2500684431E-06,2010-02-01,TB110032,0.0008,,,
3251,1.0974805919E-03,5.3240157884E-04,2.2078741557E-06,2006-06-30,TB106174,-0.0006,,,
3251,1.0443794474E-03,5.5056798336E-04,1.8915224204E-06,2003-08-08,TB103220,-0.0016,,,
3251,1.0507330000E-03,5.2925330000E-04,2.1686690000E-06,2001-08-13,,-0.0015,,,
3252,1.0740982106E-03,5.3645116434E-04,2.1414396877E-06,2014-06-20,TB114171,0.0016,,,
3252,1.0462201080E-03,5.4609250399E-04,1.9726828892E-06,2004-11-04,TB104310,0.0012,,,
3252,1.0468428014E-03,5.4596042087E-04,1.9719490552E-06,2003-08-08,TB103220,-0.0012,,,
3252,1.0444697202E-03,5.4667885608E-04,1.9647208552E-06,2002-01-19,TB102019,0.0013,,,
3253,1.0867455164E-03,5.3250471059E-04,2.1747620756E-06,2006-07-06,TB106187,-0.0008,,,
3253,1.0474110581E-03,5.4598569219E-04,1.9386061306E-06,2003-08-08,TB103220,-0.0011,,,
