time,14bs2c_ecf_0011m
2014-10-20 11:00:00,2.093
2014-10-20 12:00:00,2.045
2014-10-20 13:00:00,2.632
2014-10-20 14:00:00,2.622
2014-10-20 15:00:00,2.606
2014-10-20 16:00:00,2.439
2014-10-20 17:00:00,2.351
2014-10-20 18:00:00,2.815
2014-10-20 19:00:00,2.124
2014-10-20 20:00:00,2.0
2014-10-20 21:00:00,1.937
2014-10-20 22:00:00,1.829
2014-10-20 23:00:00,1.938
2014-10-21 00:00:00,2.205
2014-10-21 01:00:00,2.298
2014-10-21 02:00:00,2.429
2014-10-21 03:00:00,2.787
2014-10-21 04:00:00,2.838
2014-10-21 05:00:00,2.636
2014-10-21 06:00:00,2.674
2014-10-21 07:00:00,2.533
2014-10-21 08:00:00,2.4
2014-10-21 09:00:00,2.41
2014-10-21 10:00:00,2.575
2014-10-21 11:00:00,2.387
2014-10-21 12:00:00,2.244
2014-10-21 13:00:00,2.576
2014-10-21 14:00:00,2.575
2014-10-21 15:00:00,2.544
2014-10-21 16:00:00,2.595
2014-10-21 17:00:00,2.612
2014-10-21 18:00:00,2.74
2014-10-21 19:00:00,2.619
2014-10-21 20:00:00,2.471
2014-10-21 21:00:00,2.442
2014-10-21 22:00:00,2.053
2014-10-21 23:00:00,2.155
2014-10-22 00:00:00,2.078
2014-10-22 01:00:00,2.321
2014-10-22 02:00:00,2.123
2014-10-22 03:00:00,2.27
2014-10-22 04:00:00,2.732
2014-10-22 05:00:00,3.35
2014-10-22 06:00:00,2.945
2014-10-22 07:00:00,2.709
2014-10-22 08:00:00,2.93
2014-10-22 09:00:00,2.226
2014-10-22 10:00:00,2.847
2014-10-22 11:00:00,3.622
2014-10-22 12:00:00,3.257
2014-10-22 13:00:00,3.282
2014-10-22 14:00:00,3.291
2014-10-22 15:00:00,3.195
2014-10-22 16:00:00,3.227
2014-10-22 17:00:00,3.541
2014-10-22 18:00:00,3.171
2014-10-22 19:00:00,2.817
2014-10-22 20:00:00,2.986
2014-10-22 21:00:00,2.98
2014-10-22 22:00:00,3.187
2014-10-22 23:00:00,3.406
2014-10-23 00:00:00,3.416
2014-10-23 01:00:00,3.32
2014-10-23 02:00:00,3.685
2014-10-23 03:00:00,3.624
2014-10-23 04:00:00,3.575
2014-10-23 05:00:00,3.853
2014-10-23 06:00:00,3.699
2014-10-23 07:00:00,3.83
2014-10-23 08:00:00,3.527
2014-10-23 09:00:00,4.064
2014-10-23 10:00:00,2.994
2014-10-23 11:00:00,3.021
2014-10-23 12:00:00,2.532
2014-10-23 13:00:00,3.006
2014-10-23 14:00:00,2.916
2014-10-23 15:00:00,3.514
2014-10-23 16:00:00,2.967
2014-10-23 17:00:00,2.69
2014-10-23 18:00:00,3.103
2014-10-23 19:00:00,3.533
2014-10-23 20:00:00,3.491
2014-10-23 21:00:00,3.869
2014-10-23 22:00:00,3.186
2014-10-23 23:00:00,3.217
2014-10-24 00:00:00,3.229
2014-10-24 01:00:00,3.273
2014-10-24 02:00:00,3.188
2014-10-24 03:00:00,3.579
2014-10-24 04:00:00,3.787
2014-10-24 05:00:00,3.622
2014-10-24 06:00:00,3.274
2014-10-24 07:00:00,3.576
2014-10-24 08:00:00,3.192
2014-10-24 09:00:00,4.172
2014-10-24 10:00:00,3.737
2014-10-24 11:00:00,3.053
2014-10-24 12:00:00,4.286
2014-10-24 13:00:00,2.632
2014-10-24 14:00:00,2.9
2014-10-24 15:00:00,2.522
2014-10-24 16:00:00,2.489
2014-10-24 17:00:00,2.898
2014-10-24 18:00:00,3.174
2014-10-24 19:00:00,2.832
2014-10-24 20:00:00,2.961
2014-10-24 21:00:00,3.118
2014-10-24 22:00:00,2.69
