time,14bs2c_s37_0031m,14bs2c_s37_0040m,14bs2c_s37_0055m,14bs2c_sc_0012m
2014-10-20 00:00:00,31.885,31.867,32.117,
2014-10-20 01:00:00,31.881,31.862,32.118,31.862
2014-10-20 02:00:00,31.882,31.864,32.118,31.861
2014-10-20 03:00:00,31.885,31.868,32.122,31.866
2014-10-20 04:00:00,31.89,31.873,32.12,31.871
2014-10-20 05:00:00,31.895,31.878,32.121,31.875
2014-10-20 06:00:00,31.898,31.877,32.118,31.878
2014-10-20 07:00:00,31.896,31.878,32.119,31.877
2014-10-20 08:00:00,31.897,31.877,32.114,31.874
2014-10-20 09:00:00,31.892,31.875,32.114,31.873
2014-10-20 10:00:00,31.893,31.875,32.114,31.875
2014-10-20 11:00:00,31.892,31.877,32.113,31.873
2014-10-20 12:00:00,31.887,31.869,32.118,31.868
2014-10-20 13:00:00,31.887,31.873,32.121,31.865
2014-10-20 14:00:00,31.886,31.871,32.122,31.861
2014-10-20 15:00:00,31.888,31.87,32.119,31.865
2014-10-20 16:00:00,31.89,31.871,32.123,31.868
2014-10-20 17:00:00,31.896,31.878,32.119,31.87
2014-10-20 18:00:00,31.898,31.88,32.122,31.873
2014-10-20 19:00:00,31.898,31.88,32.118,31.874
2014-10-20 20:00:00,31.897,31.881,32.119,31.873
2014-10-20 21:00:00,31.896,31.877,32.117,31.87
2014-10-20 22:00:00,31.896,31.878,32.118,31.872
2014-10-20 23:00:00,31.901,31.882,32.119,31.873
2014-10-21 00:00:00,31.894,31.885,32.119,31.871
2014-10-21 01:00:00,31.896,31.881,32.12,31.868
2014-10-21 02:00:00,31.896,31.877,32.121,31.87
2014-10-21 03:00:00,31.89,31.873,32.123,31.871
2014-10-21 04:00:00,31.897,31.884,32.122,31.873
2014-10-21 05:00:00,31.896,31.88,32.124,31.875
2014-10-21 06:00:00,31.897,31.88,32.123,31.872
2014-10-21 07:00:00,31.897,31.879,32.124,31.876
2014-10-21 08:00:00,31.899,31.879,32.122,31.883
2014-10-21 09:00:00,31.895,31.878,32.121,31.871
2014-10-21 10:00:00,31.898,31.879,32.12,31.87
2014-10-21 11:00:00,31.907,31.894,32.12,31.878
2014-10-21 12:00:00,31.903,31.888,32.117,31.88
2014-10-21 13:00:00,31.908,31.89,32.119,31.884
2014-10-21 14:00:00,31.894,31.882,32.119,31.875
2014-10-21 15:00:00,31.891,31.873,32.122,31.868
2014-10-21 16:00:00,31.892,31.875,32.121,31.87
2014-10-21 17:00:00,31.894,31.878,32.121,31.868
2014-10-21 18:00:00,31.892,31.876,32.123,31.867
2014-10-21 19:00:00,31.891,31.874,32.123,31.867
2014-10-21 20:00:00,31.892,31.874,32.122,31.868
2014-10-21 21:00:00,31.892,31.875,32.122,31.868
2014-10-21 22:00:00,31.893,31.876,32.121,31.871
2014-10-21 23:00:00,31.892,31.878,32.12,31.869
2014-10-22 00:00:00,31.9,31.882,32.12,31.874
2014-10-22 01:00:00,31.899,31.878,32.118,31.876
2014-10-22 02:00:00,31.9,31.882,32.119,31.878
2014-10-22 03:00:00,31.891,31.872,32.122,31.868
2014-10-22 04:00:00,31.891,31.875,32.122,31.87
2014-10-22 05:00:00,31.891,31.874,32.123,31.87
2014-10-22 06:00:00,31.892,31.876,32.122,31.872
2014-10-22 07:00:00,31.895,31.876,32.123,31.873
2014-10-22 08:00:00,31.892,31.875,32.121,31.871
2014-10-22 09:00:00,31.896,31.878,32.12,31.878
2014-10-22 10:00:00,31.897,31.88,32.117,31.872
2014-10-22 11:00:00,31.883,31.866,32.114,31.862
2014-10-22 12:00:00,31.879,31.863,32.114,31.86
2014-10-22 13:00:00,31.879,31.862,32.112,31.861
2014-10-22 14:00:00,31.878,31.862,32.112,31.86
2014-10-22 15:00:00,31.881,31.864,32.111,31.861
2014-10-22 16:00:00,31.885,31.867,32.113,31.859
2014-10-22 17:00:00,31.884,31.867,32.116,31.862
2014-10-22 18:00:00,31.89,31.87,32.116,31.866
2014-10-22 19:00:00,31.889,31.873,32.116,31.867
2014-10-22 20:00:00,31.892,31.872,32.118,31.868
2014-10-22 21:00:00,31.889,31.875,32.117,31.867
2014-10-22 22:00:00,31.888,31.87,32.116,31.862
2014-10-22 23:00:00,31.885,31.866,32.116,31.862
2014-10-23 00:00:00,31.884,31.869,32.115,31.86
2014-10-23 01:00:00,31.884,31.866,32.115,31.862
2014-10-23 02:00:00,31.884,31.868,32.115,31.862
2014-10-23 03:00:00,31.884,31.867,32.116,31.864
2014-10-23 04:00:00,31.885,31.867,32.115,31.863
2014-10-23 05:00:00,31.887,31.872,32.116,31.865
2014-10-23 06:00:00,31.887,31.871,32.116,31.866
2014-10-23 07:00:00,31.888,31.871,32.119,31.866
2014-10-23 08:00:00,31.887,31.873,32.117,31.865
2014-10-23 09:00:00,31.885,31.871,32.114,31.865
2014-10-23 10:00:00,31.889,31.871,32.111,31.867
2014-10-23 11:00:00,31.886,31.871,32.109,31.867
2014-10-23 12:00:00,31.891,31.875,32.109,31.871
2014-10-23 13:00:00,31.884,31.868,32.105,31.865
2014-10-23 14:00:00,31.884,31.867,32.109,31.864
2014-10-23 15:00:00,31.884,31.869,32.106,31.864
2014-10-23 16:00:00,31.888,31.872,32.108,31.869
2014-10-23 17:00:00,31.895,31.877,32.111,31.874
2014-10-23 18:00:00,31.888,31.872,32.112,31.868
2014-10-23 19:00:00,31.886,31.871,32.117,31.867
2014-10-23 20:00:00,31.887,31.87,32.117,31.867
2014-10-23 21:00:00,31.893,31.872,32.116,31.868
2014-10-23 22:00:00,31.893,31.872,32.114,31.866
2014-10-23 23:00:00,31.891,31.877,32.114,31.868
2014-10-24 00:00:00,31.886,31.879,32.112,31.869
2014-10-24 01:00:00,31.886,31.881,32.112,31.87
2014-10-24 02:00:00,31.891,31.881,32.113,31.872
2014-10-24 03:00:00,31.89,31.879,32.113,31.869
2014-10-24 04:00:00,31.884,31.874,32.114,31.868
2014-10-24 05:00:00,31.893,31.869,32.113,31.87
2014-10-24 06:00:00,31.885,31.876,32.115,31.87
2014-10-24 07:00:00,31.887,31.879,32.116,31.869
2014-10-24 08:00:00,31.89,31.873,32.115,31.869
2014-10-24 09:00:00,31.89,31.873,32.11,31.87
2014-10-24 10:00:00,31.895,31.883,32.109,31.875
2014-10-24 11:00:00,31.89,31.875,32.108,31.871
2014-10-24 12:00:00,31.886,31.87,32.108,31.866
2014-10-24 13:00:00,31.886,31.869,32.107,31.865
2014-10-24 14:00:00,31.883,31.866,32.108,31.862
2014-10-24 15:00:00,31.882,31.864,32.106,31.859
2014-10-24 16:00:00,31.883,31.866,32.104,31.86
2014-10-24 17:00:00,31.883,31.867,32.104,31.863
2014-10-24 18:00:00,31.892,31.871,32.105,31.868
2014-10-24 19:00:00,31.89,31.873,32.106,31.869
2014-10-24 20:00:00,31.888,31.871,32.107,31.868
2014-10-24 21:00:00,31.891,31.874,32.107,31.868
2014-10-24 22:00:00,31.892,31.877,32.108,31.869
2014-10-24 23:00:00,31.894,31.878,32.106,31.874
2014-10-25 00:00:00,31.896,31.88,32.106,31.874
2014-10-25 01:00:00,31.892,31.88,32.105,31.871
2014-10-25 02:00:00,31.892,31.88,32.104,31.873
2014-10-25 03:00:00,31.892,31.876,32.104,31.872
2014-10-25 04:00:00,31.893,31.877,32.104,31.872
2014-10-25 05:00:00,31.889,31.873,32.105,31.869
2014-10-25 06:00:00,31.888,31.872,32.107,31.868
2014-10-25 07:00:00,31.888,31.872,32.107,31.868
2014-10-25 08:00:00,31.887,31.871,32.105,31.869
2014-10-25 09:00:00,31.888,31.872,32.105,31.869
2014-10-25 10:00:00,31.892,31.878,32.105,31.87
2014-10-25 11:00:00,31.893,31.878,32.106,31.872
2014-10-25 12:00:00,31.882,31.869,32.106,31.864
2014-10-25 13:00:00,31.879,31.864,32.108,31.861
2014-10-25 14:00:00,31.879,31.865,32.107,31.86
2014-10-25 15:00:00,31.88,31.864,32.104,31.861
2014-10-25 16:00:00,31.882,31.866,32.103,31.862
2014-10-25 17:00:00,31.884,31.875,32.099,31.865
2014-10-25 18:00:00,31.882,31.869,32.099,31.864
2014-10-25 19:00:00,31.886,31.855,32.101,31.866
2014-10-25 20:00:00,31.888,31.871,32.1,31.868
2014-10-25 21:00:00,31.889,31.874,32.102,31.871
2014-10-25 22:00:00,31.89,31.874,32.102,31.873
2014-10-25 23:00:00,31.89,31.877,32.102,31.872
2014-10-26 00:00:00,31.89,31.877,32.102,31.872
2014-10-26 01:00:00,31.892,31.879,32.103,31.874
2014-10-26 02:00:00,31.893,31.878,32.101,31.876
2014-10-26 03:00:00,31.892,31.877,32.097,31.874
2014-10-26 04:00:00,31.89,31.877,32.097,31.874
2014-10-26 05:00:00,31.889,31.874,32.097,31.872
2014-10-26 06:00:00,31.886,31.873,32.098,31.871
