time,14bs2c_mt3252_0050m,14bs2c_mt3267_0050m,14bs2c_mt4008_0060m,14bs2c_mt4031_0060m,14bs2c_s37_0031m,14bs2c_s37_0040m,14bs2c_s37_0055m,14bs2c_s39_0027m,14bs2c_s39_0035m,14bs2c_s56_0023m,14bs2c_s56_0045m,14bs2c_sc_0012m
2014-10-20 00:00:00,4.183,4.196,4.16,4.161,6.293,6.29,4.168,6.295,6.294,6.296,6.293,
2014-10-20 01:00:00,4.182,4.192,4.16,4.16,6.296,6.296,4.17,6.296,6.296,6.296,6.291,6.294
2014-10-20 02:00:00,4.175,4.186,4.159,4.16,6.299,6.298,4.169,6.303,6.304,6.304,6.293,6.299
2014-10-20 03:00:00,4.179,4.19,4.159,4.16,6.313,6.312,4.165,6.319,6.318,6.318,6.309,6.301
2014-10-20 04:00:00,4.191,4.203,4.16,4.16,6.32,6.32,4.168,6.325,6.325,6.325,6.321,6.32
2014-10-20 05:00:00,4.196,4.206,4.159,4.159,6.322,6.322,4.166,6.317,6.316,6.316,6.31,6.314
2014-10-20 06:00:00,4.219,4.217,4.158,4.158,6.311,6.312,4.169,6.307,6.311,6.309,6.307,6.312
2014-10-20 07:00:00,4.197,4.201,4.156,4.156,6.302,6.304,4.164,6.302,6.303,6.3,6.304,6.294
2014-10-20 08:00:00,4.251,4.235,4.155,4.156,6.29,6.292,4.164,6.281,6.278,6.282,6.278,6.289
2014-10-20 09:00:00,4.306,4.27,4.155,4.156,6.269,6.267,4.163,6.252,6.254,6.25,6.247,6.268
2014-10-20 10:00:00,4.17,4.182,4.157,4.158,6.245,6.246,4.164,6.245,6.243,6.244,6.236,6.243
2014-10-20 11:00:00,4.172,4.186,4.16,4.161,6.241,6.238,4.169,6.247,6.242,6.247,6.235,6.238
2014-10-20 12:00:00,4.178,4.19,4.164,4.165,6.245,6.245,4.169,6.244,6.245,6.24,6.232,6.238
2014-10-20 13:00:00,4.189,4.199,4.167,4.169,6.245,6.239,4.173,6.244,6.244,6.244,6.232,6.24
2014-10-20 14:00:00,4.192,4.199,4.168,4.17,6.249,6.246,4.176,6.247,6.248,6.247,6.241,6.239
2014-10-20 15:00:00,4.188,4.2,4.168,4.17,6.247,6.251,4.18,6.252,6.251,6.25,6.247,6.244
2014-10-20 16:00:00,4.196,4.206,4.168,4.17,6.258,6.257,4.175,6.256,6.258,6.255,6.253,6.253
2014-10-20 17:00:00,4.205,4.215,4.167,4.168,6.256,6.258,4.182,6.253,6.254,6.253,6.247,6.256
2014-10-20 18:00:00,4.205,4.209,4.166,4.166,6.244,6.247,4.173,6.244,6.245,6.246,6.241,6.245
2014-10-20 19:00:00,4.198,4.204,4.166,4.165,6.241,6.242,4.175,6.239,6.241,6.238,6.239,6.234
2014-10-20 20:00:00,4.201,4.212,4.164,4.165,6.234,6.232,4.171,6.228,6.229,6.227,6.224,6.224
2014-10-20 21:00:00,4.288,4.261,4.164,4.164,6.216,6.218,4.172,6.209,6.207,6.21,6.178,6.215
2014-10-20 22:00:00,4.568,4.458,4.166,4.166,6.197,6.196,4.172,6.191,6.187,6.19,6.174,6.197
2014-10-20 23:00:00,4.525,4.479,4.169,4.171,6.171,6.171,4.176,6.175,6.17,6.176,6.158,6.178
2014-10-21 00:00:00,4.207,4.214,4.176,4.177,6.184,6.166,4.183,6.187,6.178,6.187,6.161,6.189
2014-10-21 01:00:00,4.247,4.25,4.182,4.182,6.187,6.184,4.19,6.19,6.188,6.189,6.181,6.184
2014-10-21 02:00:00,4.217,4.227,4.188,4.189,6.196,6.195,4.2,6.206,6.21,6.205,6.186,6.194
2014-10-21 03:00:00,4.202,4.214,4.189,4.19,6.219,6.226,4.198,6.217,6.221,6.216,6.222,6.213
2014-10-21 04:00:00,4.205,4.216,4.188,4.188,6.216,6.21,4.197,6.214,6.215,6.212,6.213,6.205
2014-10-21 05:00:00,4.192,4.208,4.185,4.184,6.21,6.211,4.193,6.206,6.206,6.207,6.2,6.204
2014-10-21 06:00:00,4.207,4.211,4.181,4.18,6.207,6.207,4.191,6.204,6.202,6.203,6.202,6.203
2014-10-21 07:00:00,4.198,4.207,4.177,4.179,6.199,6.197,4.186,6.193,6.19,6.193,6.19,6.196
2014-10-21 08:00:00,4.216,4.219,4.175,4.176,6.187,6.189,4.184,6.188,6.187,6.184,6.18,6.173
2014-10-21 09:00:00,4.203,4.213,4.172,4.174,6.182,6.181,4.182,6.166,6.171,6.169,6.157,6.163
2014-10-21 10:00:00,4.657,4.566,4.173,4.175,6.151,6.151,4.18,6.138,6.132,6.137,6.1,6.152
2014-10-21 11:00:00,4.33,4.278,4.176,4.177,6.098,6.072,4.184,6.1,6.083,6.1,6.069,6.11
2014-10-21 12:00:00,4.214,4.225,4.182,4.181,6.068,6.063,4.192,6.064,6.064,6.061,6.06,6.06
2014-10-21 13:00:00,4.205,4.218,4.19,4.191,6.057,6.059,4.199,6.058,6.056,6.058,6.012,6.05
2014-10-21 14:00:00,4.216,4.226,4.198,4.199,6.085,6.069,4.207,6.11,6.093,6.112,6.063,6.092
2014-10-21 15:00:00,4.215,4.227,4.202,4.203,6.122,6.118,4.211,6.121,6.119,6.121,6.097,6.123
2014-10-21 16:00:00,4.215,4.227,4.201,4.201,6.117,6.118,4.212,6.11,6.113,6.108,6.106,6.114
2014-10-21 17:00:00,4.223,4.232,4.198,4.199,6.108,6.107,4.209,6.105,6.105,6.104,6.1,6.098
2014-10-21 18:00:00,4.215,4.224,4.194,4.195,6.113,6.108,4.206,6.118,6.116,6.116,6.107,6.113
2014-10-21 19:00:00,4.215,4.225,4.191,4.192,6.125,6.125,4.199,6.122,6.123,6.123,6.115,6.122
2014-10-21 20:00:00,4.233,4.238,4.19,4.191,6.12,6.121,4.198,6.115,6.115,6.114,6.086,6.117
2014-10-21 21:00:00,4.21,4.223,4.191,4.192,6.111,6.105,4.198,6.106,6.106,6.106,6.077,6.11
2014-10-21 22:00:00,4.196,4.209,4.197,4.198,6.103,6.102,4.201,6.096,6.095,6.099,6.077,6.1
2014-10-21 23:00:00,4.213,4.225,4.207,4.208,6.092,6.08,4.211,6.087,6.086,6.086,6.068,6.092
2014-10-22 00:00:00,4.231,4.242,4.219,4.22,6.062,6.062,4.224,6.065,6.063,6.067,6.044,6.069
2014-10-22 01:00:00,4.232,4.245,4.229,4.229,6.054,6.058,4.237,6.052,6.048,6.051,6.034,6.056
2014-10-22 02:00:00,4.239,4.253,4.228,4.228,6.044,6.044,4.239,6.056,6.054,6.054,6.024,6.036
2014-10-22 03:00:00,4.225,4.237,4.223,4.224,6.071,6.072,4.232,6.068,6.069,6.066,6.055,6.069
2014-10-22 04:00:00,4.217,4.231,4.219,4.219,6.064,6.062,4.229,6.064,6.062,6.062,6.053,6.064
2014-10-22 05:00:00,4.219,4.23,4.216,4.217,6.074,6.07,4.228,6.072,6.07,6.073,6.066,6.07
2014-10-22 06:00:00,4.217,4.231,4.216,4.217,6.077,6.082,4.225,6.069,6.068,6.068,6.062,6.078
2014-10-22 07:00:00,4.223,4.236,4.219,4.22,6.053,6.054,4.224,6.046,6.048,6.045,6.04,6.056
