time,14bs4b_s37_0018m,14bs4b_s37_0031m,14bs4b_s37_0055m,14bs4b_sc_0013m
2014-10-17 22:00:00,,,,32.089
2014-10-17 23:00:00,,,,32.11
2014-10-18 00:00:00,32.117,32.12,32.201,32.117
2014-10-18 01:00:00,32.114,32.163,32.202,32.114
2014-10-18 02:00:00,32.117,32.146,32.194,32.118
2014-10-18 03:00:00,32.103,32.104,32.2,32.105
2014-10-18 04:00:00,32.07,32.088,32.203,32.07
2014-10-18 05:00:00,32.059,32.059,32.19,32.061
2014-10-18 06:00:00,32.056,32.054,32.098,32.056
2014-10-18 07:00:00,32.047,32.045,32.285,32.049
2014-10-18 08:00:00,32.039,32.04,32.247,32.04
2014-10-18 09:00:00,32.032,32.028,32.167,32.033
2014-10-18 10:00:00,32.033,32.042,32.171,32.033
2014-10-18 11:00:00,32.036,32.036,32.201,32.037
2014-10-18 12:00:00,32.039,32.048,32.163,32.041
2014-10-18 13:00:00,32.042,32.043,32.282,32.042
2014-10-18 14:00:00,32.043,32.041,32.21,32.046
2014-10-18 15:00:00,32.048,32.048,32.156,32.05
2014-10-18 16:00:00,32.061,32.059,32.197,32.061
2014-10-18 17:00:00,32.057,32.056,32.198,32.058
2014-10-18 18:00:00,32.052,32.051,32.189,32.052
2014-10-18 19:00:00,32.054,32.052,32.195,32.055
2014-10-18 20:00:00,32.056,32.056,32.154,32.059
2014-10-18 21:00:00,32.063,32.06,32.192,32.063
2014-10-18 22:00:00,32.068,32.067,32.197,32.068
2014-10-18 23:00:00,32.072,32.069,32.188,32.071
2014-10-19 00:00:00,32.068,32.071,32.195,32.069
2014-10-19 01:00:00,32.064,32.069,32.187,32.065
2014-10-19 02:00:00,32.06,32.06,32.175,32.062
2014-10-19 03:00:00,32.055,32.053,32.19,32.056
2014-10-19 04:00:00,32.056,32.056,32.196,32.058
2014-10-19 05:00:00,32.073,32.081,32.193,32.075
2014-10-19 06:00:00,32.082,32.116,32.184,32.083
2014-10-19 07:00:00,32.099,32.106,32.19,32.099
2014-10-19 08:00:00,32.077,32.095,32.182,32.079
2014-10-19 09:00:00,32.084,32.085,32.184,32.073
2014-10-19 10:00:00,32.083,32.077,32.185,32.083
2014-10-19 11:00:00,32.099,32.096,32.191,32.098
2014-10-19 12:00:00,32.1,32.101,32.187,32.102
2014-10-19 13:00:00,32.094,32.091,32.187,32.095
2014-10-19 14:00:00,32.079,32.082,32.185,32.081
2014-10-19 15:00:00,32.069,32.119,32.196,32.07
2014-10-19 16:00:00,32.067,32.112,32.185,32.068
2014-10-19 17:00:00,32.071,32.11,32.183,32.074
2014-10-19 18:00:00,32.082,32.091,32.152,32.085
2014-10-19 19:00:00,32.086,32.083,32.156,32.082
2014-10-19 20:00:00,32.074,32.111,32.178,32.074
2014-10-19 21:00:00,32.069,32.077,32.185,32.072
2014-10-19 22:00:00,32.086,32.087,32.177,32.088
2014-10-19 23:00:00,32.096,32.096,32.196,32.098
2014-10-20 00:00:00,32.098,32.095,32.186,32.099
2014-10-20 01:00:00,32.084,32.084,32.189,32.086
2014-10-20 02:00:00,32.073,32.069,32.197,32.075
2014-10-20 03:00:00,32.072,32.115,32.181,32.073
2014-10-20 04:00:00,32.078,32.106,32.173,32.077
2014-10-20 05:00:00,32.084,32.115,32.172,32.084
2014-10-20 06:00:00,32.095,32.098,32.165,32.103
2014-10-20 07:00:00,32.077,32.094,32.158,32.08
2014-10-20 08:00:00,32.072,32.08,32.144,32.075
2014-10-20 09:00:00,32.072,32.072,32.152,32.076
2014-10-20 10:00:00,32.071,32.071,32.155,32.073
2014-10-20 11:00:00,32.076,32.075,32.168,32.081
2014-10-20 12:00:00,32.094,32.092,32.184,32.095
2014-10-20 13:00:00,32.098,32.092,32.188,32.099
2014-10-20 14:00:00,32.1,32.1,32.186,32.101
2014-10-20 15:00:00,32.095,32.093,32.17,32.097
2014-10-20 16:00:00,32.098,32.097,32.166,32.1
2014-10-20 17:00:00,32.09,32.09,32.176,32.092
2014-10-20 18:00:00,32.082,32.086,32.167,32.084
2014-10-20 19:00:00,32.075,32.074,32.183,32.078
2014-10-20 20:00:00,32.078,32.077,32.158,32.078
2014-10-20 21:00:00,32.083,32.08,32.159,32.085
2014-10-20 22:00:00,32.089,32.085,32.144,32.092
2014-10-20 23:00:00,32.095,32.094,32.167,32.097
2014-10-21 00:00:00,32.088,32.093,32.185,32.087
2014-10-21 01:00:00,32.091,32.09,32.181,32.093
2014-10-21 02:00:00,32.092,32.086,32.177,32.093
2014-10-21 03:00:00,32.093,32.091,32.173,32.094
2014-10-21 04:00:00,32.096,32.097,32.172,32.095
2014-10-21 05:00:00,32.097,32.099,32.171,32.097
2014-10-21 06:00:00,32.093,32.09,32.168,32.094
2014-10-21 07:00:00,32.092,32.105,32.156,32.093
2014-10-21 08:00:00,32.074,32.072,32.139,32.075
2014-10-21 09:00:00,32.039,32.059,32.165,32.04
2014-10-21 10:00:00,32.023,32.031,32.179,32.025
2014-10-21 11:00:00,32.027,32.029,32.181,32.032
2014-10-21 12:00:00,32.045,32.042,32.185,32.043
2014-10-21 13:00:00,32.052,32.059,32.184,32.054
2014-10-21 14:00:00,32.056,32.054,32.167,32.058
2014-10-21 15:00:00,32.064,32.062,32.178,32.064
2014-10-21 16:00:00,32.067,32.066,32.183,32.069
2014-10-21 17:00:00,32.069,32.07,32.197,32.073
2014-10-21 18:00:00,32.067,32.067,32.179,32.069
2014-10-21 19:00:00,32.052,32.051,32.176,32.051
2014-10-21 20:00:00,32.034,32.034,32.187,32.036
2014-10-21 21:00:00,32.021,32.018,32.185,32.022
2014-10-21 22:00:00,32.02,32.017,32.183,32.022
2014-10-21 23:00:00,32.019,32.017,32.185,32.02
2014-10-22 00:00:00,32.024,32.021,32.186,32.025
2014-10-22 01:00:00,32.03,32.029,32.18,32.031
2014-10-22 02:00:00,32.037,32.037,32.146,32.034
2014-10-22 03:00:00,32.038,32.035,32.174,32.037
2014-10-22 04:00:00,32.035,32.034,32.171,32.037
2014-10-22 05:00:00,32.033,32.031,32.169,32.033
2014-10-22 06:00:00,32.025,32.026,32.163,32.026
2014-10-22 07:00:00,32.022,32.02,32.166,32.022
2014-10-22 08:00:00,32.001,32.017,32.154,32.002
2014-10-22 09:00:00,31.982,32.0,32.158,31.98
2014-10-22 10:00:00,31.959,31.964,32.163,31.963
2014-10-22 11:00:00,31.953,31.964,32.172,31.958
2014-10-22 12:00:00,31.958,31.957,32.072,31.957
2014-10-22 13:00:00,31.978,31.995,32.159,31.98
2014-10-22 14:00:00,31.995,32.008,32.157,31.997
2014-10-22 15:00:00,31.996,32.015,32.155,31.998
