time,14bs4b_mt3251_0060m,14bs4b_mt3255_0060m,14bs4b_mt3322_0050m,14bs4b_s37_0018m,14bs4b_s37_0031m,14bs4b_s37_0055m,14bs4b_s39_0015m,14bs4b_s39_0019m,14bs4b_s39_0027m,14bs4b_s39_0035m,14bs4b_s39_0045m,14bs4b_s56_0023m,14bs4b_s56_0040m,14bs4b_s56_0060m,14bs4b_sc_0013m
2014-10-17 22:00:00,,,,,,,,,,,,,,,5.49
2014-10-17 23:00:00,,,,,,,,,,,,,,,5.465
2014-10-18 00:00:00,4.472,4.475,4.595,5.448,5.432,4.478,5.441,5.447,5.409,5.378,5.232,5.434,5.317,4.48,5.449
2014-10-18 01:00:00,4.483,4.488,4.511,5.443,5.341,4.492,5.428,5.423,5.392,5.343,4.865,5.409,5.265,4.494,5.444
2014-10-18 02:00:00,4.502,4.506,4.583,5.438,5.366,4.516,5.45,5.451,5.43,5.395,5.092,5.45,5.33,4.519,5.438
2014-10-18 03:00:00,4.522,4.527,4.841,5.463,5.459,4.566,5.495,5.493,5.476,5.441,5.251,5.485,5.391,4.548,5.462
2014-10-18 04:00:00,4.544,4.549,5.004,5.513,5.488,4.618,5.524,5.526,5.522,5.48,5.434,5.522,5.443,4.567,5.511
2014-10-18 05:00:00,4.565,4.571,5.343,5.532,5.528,4.65,5.532,5.533,5.532,5.529,5.479,5.533,5.501,4.599,5.532
2014-10-18 06:00:00,4.582,4.585,5.434,5.53,5.533,4.848,5.526,5.528,5.529,5.531,5.466,5.529,5.518,4.645,5.532
2014-10-18 07:00:00,4.593,4.597,5.469,5.525,5.528,4.968,5.525,5.527,5.528,5.528,5.478,5.527,5.521,4.663,5.525
2014-10-18 08:00:00,4.597,4.6,5.468,5.531,5.534,4.843,5.534,5.535,5.536,5.537,5.498,5.536,5.531,4.66,5.527
2014-10-18 09:00:00,4.59,4.592,5.47,5.541,5.544,5.471,5.547,5.548,5.546,5.546,5.515,5.548,5.54,4.64,5.539
2014-10-18 10:00:00,4.583,4.586,5.501,5.546,5.55,4.855,5.547,5.547,5.549,5.551,5.523,5.549,5.542,4.618,5.543
2014-10-18 11:00:00,4.59,4.595,5.278,5.54,5.547,4.686,5.543,5.543,5.547,5.55,5.517,5.542,5.548,4.612,5.542
2014-10-18 12:00:00,4.606,4.611,5.453,5.542,5.544,4.746,5.54,5.54,5.541,5.542,5.531,5.54,5.539,4.633,5.54
2014-10-18 13:00:00,4.637,4.643,5.5,5.534,5.539,4.979,5.528,5.529,5.527,5.53,5.526,5.529,5.528,4.672,5.532
2014-10-18 14:00:00,4.658,4.662,5.386,5.516,5.518,4.705,5.512,5.512,5.511,5.512,5.511,5.511,5.514,4.681,5.512
2014-10-18 15:00:00,4.672,4.677,5.311,5.502,5.502,4.976,5.501,5.501,5.501,5.503,5.499,5.502,5.503,4.692,5.501
2014-10-18 16:00:00,4.679,4.682,4.875,5.511,5.513,4.716,5.521,5.522,5.521,5.523,5.381,5.522,5.511,4.692,5.512
2014-10-18 17:00:00,4.672,4.674,5.093,5.521,5.524,4.709,5.522,5.523,5.525,5.525,5.447,5.524,5.52,4.683,5.519
2014-10-18 18:00:00,4.669,4.672,4.928,5.522,5.526,4.764,5.525,5.523,5.523,5.525,5.42,5.523,5.516,4.681,5.52
