time,14bs5a_s37_0017m,14bs5a_s37_0032m,14bs5a_s37_0055m
2014-10-17 00:00:00,30.8,30.978,31.198
2014-10-17 01:00:00,30.819,30.956,31.2
2014-10-17 02:00:00,30.818,30.927,31.184
2014-10-17 03:00:00,30.802,30.94,31.208
2014-10-17 04:00:00,30.783,30.994,31.211
2014-10-17 05:00:00,30.761,30.844,31.195
2014-10-17 06:00:00,30.755,30.882,31.215
2014-10-17 07:00:00,30.763,30.821,31.211
2014-10-17 08:00:00,30.766,30.827,31.236
2014-10-17 09:00:00,30.765,30.857,31.225
2014-10-17 10:00:00,30.766,30.957,31.22
2014-10-17 11:00:00,30.766,30.878,31.218
2014-10-17 12:00:00,30.767,30.898,31.217
2014-10-17 13:00:00,30.768,30.924,31.214
2014-10-17 14:00:00,30.781,30.924,31.215
2014-10-17 15:00:00,30.774,30.964,31.213
2014-10-17 16:00:00,30.784,30.989,31.216
2014-10-17 17:00:00,30.818,30.894,31.237
2014-10-17 18:00:00,30.852,30.876,31.236
2014-10-17 19:00:00,30.85,30.901,31.234
2014-10-17 20:00:00,30.812,30.961,31.219
2014-10-17 21:00:00,30.814,31.043,31.234
2014-10-17 22:00:00,30.82,30.987,31.219
2014-10-17 23:00:00,30.804,30.966,31.214
2014-10-18 00:00:00,30.805,30.978,31.208
2014-10-18 01:00:00,30.813,30.989,31.205
2014-10-18 02:00:00,30.805,30.987,31.203
2014-10-18 03:00:00,30.809,30.967,31.199
2014-10-18 04:00:00,30.824,30.908,31.204
2014-10-18 05:00:00,30.867,30.866,31.208
2014-10-18 06:00:00,30.858,30.877,31.206
2014-10-18 07:00:00,30.845,30.92,31.257
2014-10-18 08:00:00,30.906,30.896,31.235
2014-10-18 09:00:00,30.872,30.914,31.237
2014-10-18 10:00:00,30.837,30.958,31.23
2014-10-18 11:00:00,30.845,30.954,31.229
2014-10-18 12:00:00,30.883,30.913,31.223
2014-10-18 13:00:00,30.876,30.898,31.217
2014-10-18 14:00:00,30.888,30.909,31.218
2014-10-18 15:00:00,30.882,30.929,31.211
2014-10-18 16:00:00,30.884,30.886,31.214
2014-10-18 17:00:00,30.892,30.896,31.213
2014-10-18 18:00:00,30.881,30.891,31.216
2014-10-18 19:00:00,30.87,30.882,31.216
2014-10-18 20:00:00,30.842,30.881,31.22
2014-10-18 21:00:00,30.832,30.774,31.201
2014-10-18 22:00:00,30.832,30.946,31.212
2014-10-18 23:00:00,30.852,31.039,31.204
2014-10-19 00:00:00,30.865,31.033,31.2
2014-10-19 01:00:00,30.885,30.979,31.203
2014-10-19 02:00:00,30.905,31.012,31.198
2014-10-19 03:00:00,30.906,31.01,31.197
2014-10-19 04:00:00,30.905,31.007,31.192
2014-10-19 05:00:00,30.901,30.991,31.188
2014-10-19 06:00:00,30.837,30.927,31.189
2014-10-19 07:00:00,30.844,30.898,31.194
2014-10-19 08:00:00,30.835,30.891,31.196
2014-10-19 09:00:00,30.83,30.874,31.2
2014-10-19 10:00:00,30.823,30.848,31.205
2014-10-19 11:00:00,30.832,30.833,31.189
2014-10-19 12:00:00,30.838,30.919,31.195
2014-10-19 13:00:00,30.841,30.995,31.193
2014-10-19 14:00:00,30.855,31.0,31.192
2014-10-19 15:00:00,30.863,31.015,31.189
2014-10-19 16:00:00,30.859,31.022,31.187
2014-10-19 17:00:00,30.857,31.018,31.188
2014-10-19 18:00:00,30.846,30.993,31.189
2014-10-19 19:00:00,30.832,30.993,31.203
2014-10-19 20:00:00,30.823,30.883,31.214
2014-10-19 21:00:00,30.82,30.839,31.196
2014-10-19 22:00:00,30.811,30.852,31.197
2014-10-19 23:00:00,30.814,30.84,31.2
2014-10-20 00:00:00,30.824,30.925,31.19
2014-10-20 01:00:00,30.822,30.844,31.202
2014-10-20 02:00:00,30.822,30.986,31.185
2014-10-20 03:00:00,30.829,31.005,31.179
2014-10-20 04:00:00,30.833,31.007,31.182
2014-10-20 05:00:00,30.83,30.99,31.174
2014-10-20 06:00:00,30.821,30.972,31.176
2014-10-20 07:00:00,30.801,30.956,31.182
2014-10-20 08:00:00,30.787,30.866,31.193
