time,14bs5a_s37_0017m,14bs5a_s37_0032m,14bs5a_s37_0055m,14bs5a_s39_0020m,14bs5a_s39_0023m,14bs5a_s39_0040m,14bs5a_s39_0045m,14bs5a_s39_0050m,14bs5a_s39_0060m,14bs5a_s39_0067m
2014-10-17 00:00:00,4.507,4.328,0.625,4.453,4.376,3.861,0.625,0.628,0.637,0.637
2014-10-17 01:00:00,4.485,4.245,0.65,4.45,4.355,4.097,0.734,0.69,0.671,0.661
2014-10-17 02:00:00,4.478,4.237,0.721,4.459,4.402,3.937,0.788,0.753,0.723,0.712
2014-10-17 03:00:00,4.474,4.365,0.762,4.478,4.442,4.341,1.144,0.809,0.767,0.761
2014-10-17 04:00:00,4.547,4.226,0.819,4.544,4.543,4.186,1.065,0.893,0.837,0.822
2014-10-17 05:00:00,4.566,4.478,0.914,4.577,4.565,2.131,0.996,0.938,0.893,0.891
2014-10-17 06:00:00,4.572,4.135,0.947,4.582,4.572,1.063,1.007,0.98,0.941,0.936
2014-10-17 07:00:00,4.583,4.164,0.989,4.589,4.586,1.091,1.028,1.005,0.982,0.981
2014-10-17 08:00:00,4.573,4.394,1.015,4.424,4.422,1.088,1.032,1.018,1.001,0.996
2014-10-17 09:00:00,4.382,4.154,1.006,4.383,4.384,1.033,1.003,0.996,0.991,0.993
2014-10-17 10:00:00,4.404,3.819,0.977,4.422,4.421,0.981,0.968,0.966,0.971,0.971
2014-10-17 11:00:00,4.546,4.074,0.956,4.542,4.534,1.015,0.954,0.954,0.955,0.961
2014-10-17 12:00:00,4.529,3.943,0.948,4.502,4.471,0.972,0.943,0.944,0.95,0.953
2014-10-17 13:00:00,4.513,4.189,0.945,4.488,4.415,0.996,0.946,0.945,0.953,0.953
2014-10-17 14:00:00,4.508,4.165,0.969,4.463,4.387,1.0,0.969,0.975,0.978,0.977
2014-10-17 15:00:00,4.504,3.585,1.003,4.461,4.405,1.056,1.03,1.03,1.013,1.003
2014-10-17 16:00:00,4.362,3.562,1.058,4.24,4.243,1.1,1.095,1.082,1.065,1.039
2014-10-17 17:00:00,4.176,4.087,1.091,4.131,4.073,1.181,1.164,1.15,1.101,1.069
2014-10-17 18:00:00,4.11,4.063,1.135,4.123,4.112,1.222,1.2,1.18,1.117,1.106
2014-10-17 19:00:00,4.152,4.081,1.145,4.134,4.095,1.219,1.163,1.142,1.124,1.109
2014-10-17 20:00:00,4.188,3.523,1.143,4.186,4.136,1.193,1.127,1.116,1.105,1.102
2014-10-17 21:00:00,4.188,3.28,1.062,4.183,4.17,1.081,1.041,1.032,1.029,1.031
2014-10-17 22:00:00,4.172,3.293,0.955,4.196,4.198,0.949,0.919,0.912,0.932,0.946
2014-10-17 23:00:00,4.381,4.053,0.876,4.392,4.374,0.934,0.833,0.831,0.861,0.874
2014-10-18 00:00:00,4.406,4.142,0.803,4.399,4.378,0.993,0.781,0.782,0.797,0.805
2014-10-18 01:00:00,4.393,4.11,0.782,4.377,4.344,1.2,0.821,0.799,0.791,0.793
2014-10-18 02:00:00,4.398,4.098,0.814,4.387,4.366,0.951,0.83,0.823,0.816,0.815
2014-10-18 03:00:00,4.384,4.281,0.844,4.304,4.181,1.296,0.909,0.878,0.857,0.843
2014-10-18 04:00:00,4.156,3.777,0.89,4.107,4.1,1.13,0.959,0.927,0.903,0.892
2014-10-18 05:00:00,4.079,4.073,0.946,4.091,4.083,1.125,1.036,1.004,0.978,0.949
2014-10-18 06:00:00,4.095,4.039,1.035,4.1,4.087,1.273,1.11,1.073,1.039,1.019
2014-10-18 07:00:00,4.101,3.929,1.101,4.043,4.048,2.558,1.219,1.188,1.108,1.106
2014-10-18 08:00:00,4.028,4.029,1.205,4.052,4.052,3.005,1.317,1.238,1.19,1.172
2014-10-18 09:00:00,4.129,4.071,1.192,4.139,4.128,1.338,1.242,1.217,1.185,1.183
2014-10-18 10:00:00,4.148,3.729,1.192,4.144,4.141,1.24,1.204,1.185,1.168,1.15
2014-10-18 11:00:00,4.13,3.931,1.136,4.124,4.122,1.187,1.128,1.118,1.104,1.103
2014-10-18 12:00:00,4.107,4.07,1.069,4.076,4.076,1.389,1.062,1.042,1.052,1.064
2014-10-18 13:00:00,4.051,4.005,1.02,4.046,4.022,1.122,1.0,0.998,1.017,1.028
2014-10-18 14:00:00,4.023,3.967,0.989,4.036,4.031,1.589,0.997,0.982,0.996,0.999
2014-10-18 15:00:00,4.01,3.881,0.989,4.001,4.0,1.694,1.005,0.986,0.992,0.994
2014-10-18 16:00:00,4.001,3.968,0.989,3.997,3.999,1.523,1.002,0.996,0.995,0.994
2014-10-18 17:00:00,4.016,4.031,1.002,3.99,3.992,1.084,1.013,1.016,1.004,0.994
2014-10-18 18:00:00,3.974,3.963,1.015,4.02,4.02,2.461,1.044,1.031,1.008,0.997
2014-10-18 19:00:00,4.051,4.0,1.025,4.058,4.053,1.607,1.069,1.038,1.011,0.999
2014-10-18 20:00:00,4.089,3.999,1.017,4.064,4.024,1.131,1.04,1.016,0.995,0.982
2014-10-18 21:00:00,4.103,3.806,1.0,4.073,4.032,1.006,0.983,0.972,0.946,0.943
2014-10-18 22:00:00,4.097,3.5,0.919,4.059,4.027,0.975,0.936,0.905,0.874,0.878
2014-10-18 23:00:00,4.077,3.413,0.858,4.056,4.043,1.119,0.936,0.868,0.815,0.824
2014-10-19 00:00:00,4.063,4.167,0.814,4.058,4.072,3.249,0.986,0.841,0.786,0.785
2014-10-19 01:00:00,4.064,4.064,0.779,4.115,4.103,3.953,1.429,0.805,0.774,0.773
2014-10-19 02:00:00,4.126,4.028,0.781,4.094,4.019,4.063,2.349,0.804,0.778,0.774
2014-10-19 03:00:00,4.119,4.016,0.782,4.077,4.008,4.037,1.89,0.804,0.782,0.779
2014-10-19 04:00:00,4.088,4.009,0.792,4.075,4.066,4.036,1.997,0.821,0.794,0.787
2014-10-19 05:00:00,4.043,4.026,0.815,4.037,4.031,3.906,0.862,0.837,0.81,0.801
2014-10-19 06:00:00,4.081,3.989,0.853,4.077,4.052,1.533,0.87,0.865,0.855,0.839
2014-10-19 07:00:00,4.063,3.955,0.879,4.028,4.034,1.134,0.918,0.896,0.874,0.866
2014-10-19 08:00:00,4.035,3.986,0.896,4.046,4.033,1.92,0.978,0.94,0.914,0.888
2014-10-19 09:00:00,4.052,3.963,0.94,4.052,4.052,1.385,0.961,0.941,0.905,0.9
2014-10-19 10:00:00,4.045,3.982,0.895,4.034,4.037,0.993,0.91,0.903,0.878,0.87
2014-10-19 11:00:00,4.024,3.998,0.877,4.024,4.028,0.924,0.881,0.87,0.842,0.828
2014-10-19 12:00:00,4.022,3.719,0.825,4.016,4.013,1.189,0.857,0.822,0.804,0.805
2014-10-19 13:00:00,4.011,4.032,0.794,4.015,4.014,3.52,0.926,0.795,0.79,0.791
2014-10-19 14:00:00,4.019,4.026,0.787,4.022,4.026,3.712,1.256,0.792,0.786,0.787
2014-10-19 15:00:00,4.01,4.053,0.795,4.003,4.006,3.928,1.375,0.798,0.788,0.787
2014-10-19 16:00:00,3.988,4.045,0.792,3.993,3.997,3.963,0.953,0.813,0.792,0.788
2014-10-19 17:00:00,3.98,4.041,0.809,3.986,3.995,3.98,0.993,0.843,0.822,0.81
2014-10-19 18:00:00,3.97,4.058,0.85,3.988,3.999,3.793,0.912,0.881,0.858,0.843
2014-10-19 19:00:00,3.982,4.076,0.881,3.984,3.987,3.405,0.966,0.913,0.884,0.883
2014-10-19 20:00:00,3.985,3.97,0.917,3.98,3.983,3.049,1.029,0.944,0.912,0.911
2014-10-19 21:00:00,3.965,3.993,0.933,3.954,3.955,3.28,0.932,0.92,0.901,0.898
2014-10-19 22:00:00,3.95,4.045,0.878,3.954,3.955,1.413,0.908,0.858,0.855,0.848
2014-10-19 23:00:00,3.949,4.029,0.821,3.948,3.95,0.953,0.847,0.823,0.805,0.803
2014-10-20 00:00:00,3.945,3.717,0.792,3.945,3.946,0.863,0.826,0.804,0.776,0.775
2014-10-20 01:00:00,3.944,3.924,0.768,3.94,3.941,1.888,0.88,0.785,0.76,0.76
2014-10-20 02:00:00,3.938,4.086,0.763,3.939,3.945,3.432,1.78,0.79,0.753,0.753
2014-10-20 03:00:00,3.948,4.054,0.754,3.943,3.957,3.99,0.916,0.766,0.747,0.745
2014-10-20 04:00:00,3.937,4.022,0.749,3.94,3.949,3.961,0.952,0.767,0.755,0.752
2014-10-20 05:00:00,3.943,4.054,0.761,3.943,3.95,3.955,0.905,0.769,0.763,0.761
2014-10-20 06:00:00,3.943,4.04,0.777,3.944,3.95,3.854,1.063,0.799,0.789,0.786
2014-10-20 07:00:00,3.923,4.041,0.827,3.937,3.942,3.911,0.955,0.875,0.844,0.841
2014-10-20 08:00:00,3.951,3.982,0.912,3.961,3.963,3.366,0.965,0.934,0.921,0.913
2014-10-20 09:00:00,3.968,3.985,0.973,4.016,3.994,3.703,1.099,0.969,0.954,0.958
2014-10-20 10:00:00,4.067,4.024,0.958,4.104,4.089,3.909,1.147,0.98,0.958,0.954
