time,15ckp9a_an11_0922m,15ckp9a_an9_0377m,15ckp9a_an9_0672m,15ckp9a_lrcp_scal,15ckp9a_s37_0378m
2015-09-15 21:00:00,,,,0.63,0.696
2015-09-15 22:00:00,-0.014,0.672,0.31,0.63,0.709
2015-09-15 23:00:00,-0.014,0.672,0.31,0.63,0.711
2015-09-16 00:00:00,-0.014,0.672,0.287,0.637,0.71
2015-09-16 01:00:00,-0.014,0.672,0.287,0.64,0.709
2015-09-16 02:00:00,-0.014,0.672,0.263,0.64,0.712
2015-09-16 03:00:00,-0.014,0.649,0.263,0.627,0.701
2015-09-16 04:00:00,-0.014,0.649,0.239,0.613,0.69
2015-09-16 05:00:00,-0.014,0.649,0.263,0.617,0.692
2015-09-16 06:00:00,-0.014,0.672,0.263,0.62,0.706
2015-09-16 07:00:00,0.009,0.649,0.263,0.62,0.694
2015-09-16 08:00:00,0.009,0.649,0.239,0.613,0.696
2015-09-16 09:00:00,0.009,0.649,0.287,0.61,0.69
2015-09-16 10:00:00,0.009,0.649,0.287,0.617,0.697
2015-09-16 11:00:00,-0.014,0.649,0.263,0.62,0.696
2015-09-16 12:00:00,0.009,0.649,0.287,0.627,0.692
2015-09-16 13:00:00,0.009,0.672,0.239,0.637,0.712
2015-09-16 14:00:00,0.009,0.672,0.239,0.647,0.718
2015-09-16 15:00:00,0.009,0.672,0.239,0.65,0.718
2015-09-16 16:00:00,0.009,0.672,0.239,0.63,0.713
2015-09-16 17:00:00,0.009,0.625,0.216,0.607,0.674
2015-09-16 18:00:00,0.033,0.649,0.216,0.6,0.686
2015-09-16 19:00:00,0.033,0.649,0.216,0.607,0.69
2015-09-16 20:00:00,0.056,0.649,0.216,0.61,0.699
2015-09-16 21:00:00,0.056,0.649,0.239,0.623,0.7
2015-09-16 22:00:00,0.056,0.672,0.239,0.643,0.723
2015-09-16 23:00:00,0.056,0.696,0.239,0.65,0.731
2015-09-17 00:00:00,0.08,0.696,0.287,0.65,0.737
2015-09-17 01:00:00,0.056,0.696,0.31,0.657,0.733
2015-09-17 02:00:00,0.08,0.696,0.31,0.66,0.742
2015-09-17 03:00:00,0.08,0.696,0.287,0.66,0.742
2015-09-17 04:00:00,0.08,0.696,0.287,0.66,0.746
2015-09-17 05:00:00,0.08,0.696,0.287,0.653,0.739
2015-09-17 06:00:00,0.08,0.696,0.239,0.643,0.74
2015-09-17 07:00:00,0.08,0.672,0.239,0.64,0.715
