time,15ckpitae_ecf_0001m.unqcd,15ckpitae_ecf_0024m.unqcd
2015-07-11 00:00:00,0.158,1.484
2015-07-11 01:00:00,0.166,1.221
2015-07-11 02:00:00,0.175,0.668
2015-07-11 03:00:00,0.182,1.036
2015-07-11 04:00:00,0.193,1.178
2015-07-11 05:00:00,0.22,1.089
2015-07-11 06:00:00,0.231,1.09
2015-07-11 07:00:00,0.235,1.238
2015-07-11 08:00:00,0.248,1.22
2015-07-11 09:00:00,0.237,1.23
2015-07-11 10:00:00,0.238,1.195
2015-07-11 11:00:00,0.269,1.189
2015-07-11 12:00:00,0.244,1.009
2015-07-11 13:00:00,0.235,1.156
2015-07-11 14:00:00,0.238,1.51
2015-07-11 15:00:00,0.211,1.562
2015-07-11 16:00:00,0.202,2.31
2015-07-11 17:00:00,0.197,1.18
2015-07-11 18:00:00,0.169,8.894
2015-07-11 19:00:00,0.147,2.989
2015-07-11 20:00:00,0.153,0.769
2015-07-11 21:00:00,0.189,1.067
2015-07-11 22:00:00,0.155,0.665
2015-07-11 23:00:00,0.178,3.045
2015-07-12 00:00:00,0.169,1.42
2015-07-12 01:00:00,0.169,1.062
2015-07-12 02:00:00,0.16,0.835
2015-07-12 03:00:00,0.215,2.168
2015-07-12 04:00:00,0.2,2.006
2015-07-12 05:00:00,0.173,1.618
2015-07-12 06:00:00,0.207,1.489
2015-07-12 07:00:00,0.24,1.218
2015-07-12 08:00:00,0.242,1.197
2015-07-12 09:00:00,0.242,1.199
2015-07-12 10:00:00,0.26,1.283
2015-07-12 11:00:00,0.244,1.127
2015-07-12 12:00:00,0.26,1.05
2015-07-12 13:00:00,0.251,1.245
2015-07-12 14:00:00,0.226,0.691
2015-07-12 15:00:00,0.227,0.614
2015-07-12 16:00:00,0.2,0.732
2015-07-12 17:00:00,0.218,0.787
2015-07-12 18:00:00,0.189,0.791
2015-07-12 19:00:00,0.177,1.248
2015-07-12 20:00:00,0.184,0.812
2015-07-12 21:00:00,0.175,0.594
2015-07-12 22:00:00,0.184,0.613
2015-07-12 23:00:00,0.198,0.616
2015-07-13 00:00:00,0.186,0.684
2015-07-13 01:00:00,0.191,0.852
2015-07-13 02:00:00,0.178,0.796
2015-07-13 03:00:00,0.204,0.479
2015-07-13 04:00:00,0.2,0.511
2015-07-13 05:00:00,0.229,0.625
2015-07-13 06:00:00,0.257,0.657
2015-07-13 07:00:00,0.251,0.831
2015-07-13 08:00:00,0.262,0.537
2015-07-13 09:00:00,0.257,0.8
2015-07-13 10:00:00,0.233,1.631
2015-07-13 11:00:00,0.257,0.71
2015-07-13 12:00:00,0.262,1.427
2015-07-13 13:00:00,0.253,0.905
2015-07-13 14:00:00,0.258,0.682
2015-07-13 15:00:00,0.257,0.472
2015-07-13 16:00:00,0.251,0.57
2015-07-13 17:00:00,0.238,0.594
2015-07-13 18:00:00,0.218,0.657
2015-07-13 19:00:00,0.206,0.477
2015-07-13 20:00:00,0.186,0.497
2015-07-13 21:00:00,0.187,0.392
2015-07-13 22:00:00,0.187,0.4
2015-07-13 23:00:00,0.177,0.497
2015-07-14 00:00:00,0.198,0.631
2015-07-14 01:00:00,0.184,0.445
2015-07-14 02:00:00,0.215,0.517
2015-07-14 03:00:00,0.224,0.726
2015-07-14 04:00:00,0.226,0.956
2015-07-14 05:00:00,0.231,0.793
2015-07-14 06:00:00,0.268,1.187
2015-07-14 07:00:00,0.269,1.081
2015-07-14 08:00:00,0.277,1.15
2015-07-14 09:00:00,0.288,1.34
2015-07-14 10:00:00,0.28,1.273
2015-07-14 11:00:00,0.282,0.983
2015-07-14 12:00:00,0.266,0.882
2015-07-14 13:00:00,0.277,0.962
2015-07-14 14:00:00,0.269,1.031
2015-07-14 15:00:00,0.262,1.433
2015-07-14 16:00:00,0.22,1.059
2015-07-14 17:00:00,0.218,0.635
2015-07-14 18:00:00,0.215,1.069
2015-07-14 19:00:00,0.197,0.945
2015-07-14 20:00:00,0.187,2.028
2015-07-14 21:00:00,0.2,2.463
2015-07-14 22:00:00,0.169,2.676
2015-07-14 23:00:00,0.162,4.516
2015-07-15 00:00:00,0.191,3.843
2015-07-15 01:00:00,0.195,3.237
2015-07-15 02:00:00,0.198,1.051
2015-07-15 03:00:00,0.217,1.94
2015-07-15 04:00:00,0.195,2.653
2015-07-15 05:00:00,0.217,4.051
2015-07-15 06:00:00,0.237,3.263
2015-07-15 07:00:00,0.269,2.903
2015-07-15 08:00:00,0.273,3.508
2015-07-15 09:00:00,0.238,1.43
2015-07-15 10:00:00,0.24,1.313
2015-07-15 11:00:00,0.255,2.343
2015-07-15 12:00:00,0.258,2.286
2015-07-15 13:00:00,0.251,1.828
2015-07-15 14:00:00,0.26,2.158
2015-07-15 15:00:00,0.251,2.172
2015-07-15 16:00:00,0.264,2.144
2015-07-15 17:00:00,0.24,4.213
2015-07-15 18:00:00,0.218,3.523
2015-07-15 19:00:00,0.215,3.062
2015-07-15 20:00:00,0.202,2.629
2015-07-15 21:00:00,0.22,1.218
2015-07-15 22:00:00,0.206,1.233
2015-07-15 23:00:00,0.211,1.294
2015-07-16 00:00:00,0.191,1.515
2015-07-16 01:00:00,0.22,1.995
2015-07-16 02:00:00,0.217,2.454
2015-07-16 03:00:00,0.209,4.835
2015-07-16 04:00:00,0.217,1.898
2015-07-16 05:00:00,0.238,1.284
2015-07-16 06:00:00,0.248,1.583
2015-07-16 07:00:00,0.255,1.914
2015-07-16 08:00:00,0.266,1.031
2015-07-16 09:00:00,0.238,0.866
2015-07-16 10:00:00,0.255,1.545
2015-07-16 11:00:00,0.258,16.867
2015-07-16 12:00:00,0.258,15.996
2015-07-16 13:00:00,0.248,21.102
2015-07-16 14:00:00,0.244,1.164
2015-07-16 15:00:00,0.246,1.054
2015-07-16 16:00:00,0.248,3.359
2015-07-16 17:00:00,0.209,3.107
2015-07-16 18:00:00,0.202,1.728
2015-07-16 19:00:00,0.202,2.391
2015-07-16 20:00:00,0.197,0.887
2015-07-16 21:00:00,0.184,0.932
2015-07-16 22:00:00,0.204,0.76
2015-07-16 23:00:00,0.197,1.448
2015-07-17 00:00:00,0.204,1.473
2015-07-17 01:00:00,0.209,1.07
2015-07-17 02:00:00,0.207,1.156
2015-07-17 03:00:00,0.207,4.036
2015-07-17 04:00:00,0.235,1.611
2015-07-17 05:00:00,0.253,1.221
2015-07-17 06:00:00,0.275,1.975
2015-07-17 07:00:00,0.257,1.591
2015-07-17 08:00:00,0.288,1.254
2015-07-17 09:00:00,0.242,1.188
2015-07-17 10:00:00,0.246,0.882
2015-07-17 11:00:00,0.28,22.437
2015-07-17 12:00:00,0.248,6.434
2015-07-17 13:00:00,0.249,1.7
2015-07-17 14:00:00,0.251,1.778
2015-07-17 15:00:00,0.255,0.617
2015-07-17 16:00:00,0.224,2.833
2015-07-17 17:00:00,0.213,1.94
2015-07-17 18:00:00,0.215,0.861
2015-07-17 19:00:00,0.217,0.642
2015-07-17 20:00:00,0.204,0.68
2015-07-17 21:00:00,0.207,2.13
2015-07-17 22:00:00,0.198,0.591
2015-07-17 23:00:00,0.204,0.508
2015-07-18 00:00:00,0.211,1.265
2015-07-18 01:00:00,0.187,20.293
2015-07-18 02:00:00,0.207,37.528
2015-07-18 03:00:00,0.195,14.463
2015-07-18 04:00:00,0.222,16.185
2015-07-18 05:00:00,0.233,1.166
2015-07-18 06:00:00,0.233,0.584
2015-07-18 07:00:00,0.246,0.635
2015-07-18 08:00:00,0.226,0.941
2015-07-18 09:00:00,0.258,0.868
2015-07-18 10:00:00,0.238,0.7
2015-07-18 11:00:00,0.246,0.903
2015-07-18 12:00:00,0.233,0.707
2015-07-18 13:00:00,0.244,0.731
2015-07-18 14:00:00,0.248,0.647
2015-07-18 15:00:00,0.231,0.817
2015-07-18 16:00:00,0.217,0.807
2015-07-18 17:00:00,0.229,0.839
2015-07-18 18:00:00,0.206,0.822
2015-07-18 19:00:00,0.2,1.116
2015-07-18 20:00:00,0.197,0.997
2015-07-18 21:00:00,0.189,0.817
2015-07-18 22:00:00,0.186,0.711
2015-07-18 23:00:00,0.195,0.845
2015-07-19 00:00:00,0.197,0.712
2015-07-19 01:00:00,0.211,0.774
2015-07-19 02:00:00,0.207,1.248
2015-07-19 03:00:00,0.224,0.926
2015-07-19 04:00:00,0.213,1.857
2015-07-19 05:00:00,0.235,1.68
2015-07-19 06:00:00,0.249,3.334
2015-07-19 07:00:00,0.242,4.482
2015-07-19 08:00:00,0.244,7.263
2015-07-19 09:00:00,0.242,4.633
2015-07-19 10:00:00,0.264,4.752
2015-07-19 11:00:00,0.244,5.42
2015-07-19 12:00:00,0.257,6.084
2015-07-19 13:00:00,0.224,4.179
2015-07-19 14:00:00,0.227,4.298
2015-07-19 15:00:00,0.22,6.446
2015-07-19 16:00:00,0.217,13.447
2015-07-19 17:00:00,0.191,2.288
2015-07-19 18:00:00,0.211,2.401
2015-07-19 19:00:00,0.193,4.393
2015-07-19 20:00:00,0.186,7.806
2015-07-19 21:00:00,0.184,4.055
2015-07-19 22:00:00,0.177,3.389
2015-07-19 23:00:00,0.182,3.546
2015-07-20 00:00:00,0.186,2.323
2015-07-20 01:00:00,0.189,2.522
2015-07-20 02:00:00,0.206,2.665
2015-07-20 03:00:00,0.207,2.684
2015-07-20 04:00:00,0.211,2.614
2015-07-20 05:00:00,0.248,1.992
2015-07-20 06:00:00,0.233,2.129
2015-07-20 07:00:00,0.235,1.975
2015-07-20 08:00:00,0.229,0.629
2015-07-20 09:00:00,0.209,0.808
2015-07-20 10:00:00,0.222,0.79
2015-07-20 11:00:00,0.224,0.036
2015-07-20 12:00:00,0.246,1.394
2015-07-20 13:00:00,0.249,2.452
2015-07-20 14:00:00,0.233,2.363
2015-07-20 15:00:00,0.242,2.623
2015-07-20 16:00:00,0.229,3.493
2015-07-20 17:00:00,0.2,3.507
2015-07-20 18:00:00,0.213,4.339
2015-07-20 19:00:00,0.209,1.325
2015-07-20 20:00:00,0.193,0.714
2015-07-20 21:00:00,0.187,1.034
2015-07-20 22:00:00,0.158,0.8
2015-07-20 23:00:00,0.178,1.145
2015-07-21 00:00:00,0.189,0.815
2015-07-21 01:00:00,0.178,1.062
2015-07-21 02:00:00,0.197,1.601
2015-07-21 03:00:00,0.198,2.962
2015-07-21 04:00:00,0.213,4.469
2015-07-21 05:00:00,0.224,4.148
2015-07-21 06:00:00,0.255,6.436
2015-07-21 07:00:00,0.246,5.39
2015-07-21 08:00:00,0.246,4.081
2015-07-21 09:00:00,0.264,6.173
2015-07-21 10:00:00,0.264,4.912
2015-07-21 11:00:00,0.269,4.619
2015-07-21 12:00:00,0.258,4.415
2015-07-21 13:00:00,0.246,4.002
2015-07-21 14:00:00,0.231,5.232
2015-07-21 15:00:00,0.235,4.829
2015-07-21 16:00:00,0.231,4.834
2015-07-21 17:00:00,0.207,4.424
2015-07-21 18:00:00,0.217,4.47
2015-07-21 19:00:00,0.215,6.038
2015-07-21 20:00:00,0.193,3.26
2015-07-21 21:00:00,0.18,2.108
2015-07-21 22:00:00,0.197,1.714
2015-07-21 23:00:00,0.173,1.596
2015-07-22 00:00:00,0.18,1.824
2015-07-22 01:00:00,0.211,2.011
2015-07-22 02:00:00,0.217,2.248
2015-07-22 03:00:00,0.227,2.525
2015-07-22 04:00:00,0.231,2.594
2015-07-22 05:00:00,0.238,2.366
2015-07-22 06:00:00,0.238,2.45
2015-07-22 07:00:00,0.253,3.129
2015-07-22 08:00:00,0.249,3.03
2015-07-22 09:00:00,0.24,3.094
2015-07-22 10:00:00,0.229,2.89
2015-07-22 11:00:00,0.22,2.843
2015-07-22 12:00:00,0.248,2.662
2015-07-22 13:00:00,0.229,2.883
2015-07-22 14:00:00,0.209,2.577
2015-07-22 15:00:00,0.217,2.631
2015-07-22 16:00:00,0.209,2.457
2015-07-22 17:00:00,0.206,2.419
2015-07-22 18:00:00,0.171,2.101
2015-07-22 19:00:00,0.16,1.903
2015-07-22 20:00:00,0.177,2.782
2015-07-22 21:00:00,0.18,1.876
2015-07-22 22:00:00,0.171,3.121
2015-07-22 23:00:00,0.178,2.595
2015-07-23 00:00:00,0.142,3.678
2015-07-23 01:00:00,0.178,6.358
2015-07-23 02:00:00,0.157,6.116
2015-07-23 03:00:00,0.169,11.269
2015-07-23 04:00:00,0.173,2.662
2015-07-23 05:00:00,0.204,3.094
2015-07-23 06:00:00,0.217,3.984
2015-07-23 07:00:00,0.229,4.341
2015-07-23 08:00:00,0.233,5.85
2015-07-23 09:00:00,0.218,6.418
2015-07-23 10:00:00,0.227,2.459
2015-07-23 11:00:00,0.215,1.759
2015-07-23 12:00:00,0.215,1.956
2015-07-23 13:00:00,0.204,2.049
2015-07-23 14:00:00,0.215,1.959
2015-07-23 15:00:00,0.226,4.501
2015-07-23 16:00:00,0.22,4.781
2015-07-23 17:00:00,0.213,1.989
2015-07-23 18:00:00,0.2,1.474
2015-07-23 19:00:00,0.198,1.377
