time,15ckpitae_s37_0001m.unqcd,15ckpitae_s37_0001m.unqcd.localtime,15ckpitae_s37_0025m.unqcd
2015-07-11 00:00:00,,30.821,32.346
2015-07-11 01:00:00,,30.824,32.345
2015-07-11 02:00:00,,30.825,32.349
2015-07-11 03:00:00,,30.829,32.319
2015-07-11 04:00:00,,30.832,32.35
2015-07-11 05:00:00,,30.818,32.346
2015-07-11 06:00:00,,30.8,32.347
2015-07-11 07:00:00,30.821,30.765,32.347
2015-07-11 08:00:00,30.824,30.692,32.346
2015-07-11 09:00:00,30.825,30.679,32.347
2015-07-11 10:00:00,30.829,30.685,32.347
2015-07-11 11:00:00,30.832,30.696,32.353
2015-07-11 12:00:00,30.818,30.701,32.349
2015-07-11 13:00:00,30.8,30.703,32.35
2015-07-11 14:00:00,30.765,30.704,32.345
2015-07-11 15:00:00,30.692,30.704,32.342
2015-07-11 16:00:00,30.679,30.706,32.343
2015-07-11 17:00:00,30.685,30.699,32.335
2015-07-11 18:00:00,30.696,30.693,32.352
2015-07-11 19:00:00,30.701,30.701,32.343
2015-07-11 20:00:00,30.703,30.69,32.334
2015-07-11 21:00:00,30.704,30.69,32.319
2015-07-11 22:00:00,30.704,30.693,32.347
2015-07-11 23:00:00,30.706,30.697,32.346
2015-07-12 00:00:00,30.699,30.7,32.359
2015-07-12 01:00:00,30.693,30.703,32.333
2015-07-12 02:00:00,30.701,30.711,32.341
2015-07-12 03:00:00,30.69,30.719,32.33
2015-07-12 04:00:00,30.69,30.739,32.317
2015-07-12 05:00:00,30.693,30.773,32.318
2015-07-12 06:00:00,30.697,30.796,32.313
2015-07-12 07:00:00,30.7,30.814,32.257
2015-07-12 08:00:00,30.703,30.847,32.266
2015-07-12 09:00:00,30.711,30.885,32.3
2015-07-12 10:00:00,30.719,30.906,32.32
2015-07-12 11:00:00,30.739,30.914,32.318
2015-07-12 12:00:00,30.773,30.918,32.291
2015-07-12 13:00:00,30.796,30.918,32.306
2015-07-12 14:00:00,30.814,30.916,32.228
2015-07-12 15:00:00,30.847,30.914,32.161
2015-07-12 16:00:00,30.885,30.902,32.158
2015-07-12 17:00:00,30.906,30.918,32.314
2015-07-12 18:00:00,30.914,30.966,32.281
2015-07-12 19:00:00,30.918,31.028,32.317
2015-07-12 20:00:00,30.918,31.048,32.336
2015-07-12 21:00:00,30.916,31.041,32.312
2015-07-12 22:00:00,30.914,31.049,32.309
2015-07-12 23:00:00,30.902,31.052,32.309
2015-07-13 00:00:00,30.918,31.049,32.32
2015-07-13 01:00:00,30.966,31.022,32.317
2015-07-13 02:00:00,31.028,31.01,32.33
2015-07-13 03:00:00,31.048,31.008,32.1
2015-07-13 04:00:00,31.041,31.004,32.084
2015-07-13 05:00:00,31.049,30.995,32.24
2015-07-13 06:00:00,31.052,31.001,32.232
2015-07-13 07:00:00,31.049,31.034,32.268
2015-07-13 08:00:00,31.022,31.059,32.126
2015-07-13 09:00:00,31.01,31.078,32.155
2015-07-13 10:00:00,31.008,31.081,32.302
2015-07-13 11:00:00,31.004,31.084,32.23
2015-07-13 12:00:00,30.995,31.087,32.268
2015-07-13 13:00:00,31.001,31.087,32.3
2015-07-13 14:00:00,31.034,31.086,32.243
