time,15ckpitae_mt4044_0034m,15ckpitae_mt4066_0034m,15ckpitae_s37_0001m,15ckpitae_s37_0025m,15ckpitae_s56_0027m,15ckpitae_s56_0029m,15ckpitae_s56_0031m,15ckpitae_s56_0033m
2015-07-11 00:00:00,-1.537,-1.534,,-1.363,-1.483,-1.506,-1.521,-1.525
2015-07-11 01:00:00,-1.534,-1.531,,-1.178,-1.468,-1.496,-1.515,-1.52
2015-07-11 02:00:00,-1.532,-1.529,,-1.46,-1.485,-1.506,-1.514,-1.519
2015-07-11 03:00:00,-1.529,-1.526,,-1.103,-1.462,-1.498,-1.51,-1.517
2015-07-11 04:00:00,-1.527,-1.524,,-1.365,-1.494,-1.503,-1.509,-1.515
2015-07-11 05:00:00,-1.524,-1.521,,-1.459,-1.493,-1.505,-1.508,-1.513
2015-07-11 06:00:00,-1.521,-1.518,,-1.488,-1.498,-1.504,-1.506,-1.509
2015-07-11 07:00:00,-1.517,-1.513,5.243,-1.488,-1.496,-1.5,-1.502,-1.504
2015-07-11 08:00:00,-1.513,-1.51,5.232,-1.475,-1.498,-1.499,-1.5,-1.501
2015-07-11 09:00:00,-1.511,-1.506,5.221,-1.492,-1.498,-1.499,-1.499,-1.499
2015-07-11 10:00:00,-1.507,-1.504,5.219,-1.49,-1.493,-1.496,-1.497,-1.497
2015-07-11 11:00:00,-1.512,-1.508,5.207,-1.443,-1.492,-1.498,-1.5,-1.501
2015-07-11 12:00:00,-1.516,-1.511,5.111,-1.433,-1.494,-1.501,-1.503,-1.504
2015-07-11 13:00:00,-1.517,-1.515,4.98,-1.451,-1.499,-1.506,-1.507,-1.507
2015-07-11 14:00:00,-1.519,-1.516,5.014,-1.435,-1.496,-1.508,-1.51,-1.509
2015-07-11 15:00:00,-1.522,-1.519,5.083,-1.445,-1.502,-1.511,-1.513,-1.513
2015-07-11 16:00:00,-1.526,-1.523,5.128,-1.392,-1.459,-1.513,-1.517,-1.516
2015-07-11 17:00:00,-1.527,-1.524,5.182,-0.966,-1.35,-1.488,-1.517,-1.517
2015-07-11 18:00:00,-1.529,-1.526,5.149,-1.282,-1.455,-1.519,-1.521,-1.519
2015-07-11 19:00:00,-1.531,-1.528,5.16,-1.236,-1.451,-1.522,-1.522,-1.521
2015-07-11 20:00:00,-1.534,-1.531,5.182,-0.966,-1.294,-1.48,-1.524,-1.524
2015-07-11 21:00:00,-1.536,-1.531,5.199,-1.0,-1.31,-1.485,-1.525,-1.525
2015-07-11 22:00:00,-1.537,-1.533,5.215,-1.157,-1.424,-1.508,-1.527,-1.527
2015-07-11 23:00:00,-1.539,-1.537,5.239,-1.136,-1.388,-1.501,-1.529,-1.529
2015-07-12 00:00:00,-1.542,-1.539,5.327,-1.136,-1.391,-1.526,-1.531,-1.531
2015-07-12 01:00:00,-1.544,-1.54,5.368,-1.139,-1.373,-1.521,-1.532,-1.532
