time,15ckpitae_mt4044_0034m.unqcd,15ckpitae_mt4066_0034m.unqcd,15ckpitae_s37_0001m.unqcd,15ckpitae_s37_0001m.unqcd.localtime,15ckpitae_s37_0025m.unqcd,15ckpitae_s56_0027m.unqcd,15ckpitae_s56_0029m.unqcd,15ckpitae_s56_0031m.unqcd,15ckpitae_s56_0033m.unqcd
2015-07-11 00:00:00,-1.537,-1.534,,5.243,-1.363,-1.482,-1.504,-1.52,-1.524
2015-07-11 01:00:00,-1.534,-1.531,,5.232,-1.178,-1.469,-1.5,-1.516,-1.521
2015-07-11 02:00:00,-1.532,-1.529,,5.221,-1.46,-1.484,-1.506,-1.513,-1.519
2015-07-11 03:00:00,-1.529,-1.526,,5.219,-1.103,-1.466,-1.498,-1.509,-1.515
2015-07-11 04:00:00,-1.527,-1.524,,5.207,-1.365,-1.493,-1.503,-1.51,-1.515
2015-07-11 05:00:00,-1.524,-1.521,,5.111,-1.459,-1.492,-1.503,-1.509,-1.512
2015-07-11 06:00:00,-1.521,-1.518,,4.98,-1.488,-1.497,-1.504,-1.506,-1.508
2015-07-11 07:00:00,-1.517,-1.513,5.243,5.014,-1.488,-1.497,-1.501,-1.502,-1.504
2015-07-11 08:00:00,-1.513,-1.51,5.232,5.083,-1.475,-1.499,-1.5,-1.501,-1.501
2015-07-11 09:00:00,-1.511,-1.506,5.221,5.128,-1.492,-1.497,-1.498,-1.498,-1.499
2015-07-11 10:00:00,-1.507,-1.504,5.219,5.182,-1.49,-1.491,-1.496,-1.497,-1.497
2015-07-11 11:00:00,-1.512,-1.508,5.207,5.149,-1.443,-1.493,-1.499,-1.5,-1.501
2015-07-11 12:00:00,-1.516,-1.511,5.111,5.16,-1.433,-1.495,-1.501,-1.504,-1.505
2015-07-11 13:00:00,-1.517,-1.515,4.98,5.182,-1.451,-1.5,-1.506,-1.507,-1.507
2015-07-11 14:00:00,-1.519,-1.516,5.014,5.199,-1.435,-1.496,-1.508,-1.51,-1.51
2015-07-11 15:00:00,-1.522,-1.519,5.083,5.215,-1.445,-1.501,-1.512,-1.513,-1.513
2015-07-11 16:00:00,-1.526,-1.523,5.128,5.239,-1.392,-1.46,-1.514,-1.517,-1.516
2015-07-11 17:00:00,-1.527,-1.524,5.182,5.327,-0.966,-1.381,-1.493,-1.518,-1.518
2015-07-11 18:00:00,-1.529,-1.526,5.149,5.368,-1.282,-1.462,-1.519,-1.521,-1.519
2015-07-11 19:00:00,-1.531,-1.528,5.16,5.376,-1.236,-1.455,-1.522,-1.523,-1.522
2015-07-11 20:00:00,-1.534,-1.531,5.182,5.217,-0.966,-1.242,-1.475,-1.524,-1.524
2015-07-11 21:00:00,-1.536,-1.531,5.199,5.229,-1.0,-1.316,-1.487,-1.525,-1.524
2015-07-11 22:00:00,-1.537,-1.533,5.215,5.256,-1.157,-1.435,-1.511,-1.527,-1.527
2015-07-11 23:00:00,-1.539,-1.537,5.239,5.257,-1.136,-1.389,-1.502,-1.529,-1.529
2015-07-12 00:00:00,-1.542,-1.539,5.327,5.223,-1.136,-1.398,-1.524,-1.531,-1.531
2015-07-12 01:00:00,-1.544,-1.54,5.368,5.21,-1.139,-1.378,-1.528,-1.532,-1.533
2015-07-12 02:00:00,-1.546,-1.543,5.376,5.209,-1.082,-1.382,-1.518,-1.534,-1.535
2015-07-12 03:00:00,-1.549,-1.545,5.217,5.23,-1.14,-1.437,-1.518,-1.535,-1.537
2015-07-12 04:00:00,-1.549,-1.546,5.229,5.271,-1.113,-1.425,-1.523,-1.538,-1.539
2015-07-12 05:00:00,-1.55,-1.547,5.256,5.33,-1.15,-1.369,-1.528,-1.54,-1.54
2015-07-12 06:00:00,-1.551,-1.548,5.257,5.366,-1.057,-1.236,-1.514,-1.541,-1.541
2015-07-12 07:00:00,-1.552,-1.548,5.223,5.37,-0.945,-1.132,-1.496,-1.54,-1.542
2015-07-12 08:00:00,-1.552,-1.55,5.21,5.421,-0.969,-1.155,-1.496,-1.54,-1.542
2015-07-12 09:00:00,-1.552,-1.548,5.209,5.481,-1.0,-1.206,-1.499,-1.54,-1.542
2015-07-12 10:00:00,-1.551,-1.547,5.23,5.505,-1.076,-1.295,-1.516,-1.542,-1.54
2015-07-12 11:00:00,-1.549,-1.545,5.271,5.514,-1.04,-1.251,-1.509,-1.542,-1.539
2015-07-12 12:00:00,-1.547,-1.543,5.33,5.525,-0.867,-1.152,-1.467,-1.535,-1.538
2015-07-12 13:00:00,-1.545,-1.542,5.366,5.535,-0.768,-1.101,-1.478,-1.532,-1.536
