time,24bs2c_eco_0012m,24bs2c_eco_0023m,24bs2c_eco_0045m
2024-09-08 23:00:00,0.709,0.929,1.87
2024-09-09 00:00:00,0.71,1.126,2.508
2024-09-09 01:00:00,0.71,0.904,1.512
2024-09-09 02:00:00,0.71,0.802,1.87
2024-09-09 03:00:00,0.711,0.707,4.476
2024-09-09 04:00:00,0.711,0.683,2.82
2024-09-09 05:00:00,0.711,0.75,2.523
2024-09-09 06:00:00,0.712,0.868,2.759
2024-09-09 07:00:00,0.712,0.914,1.505
2024-09-09 08:00:00,0.713,1.007,1.862
2024-09-09 09:00:00,0.713,1.05,1.14
2024-09-09 10:00:00,0.713,1.118,1.543
2024-09-09 11:00:00,0.714,1.179,1.155
2024-09-09 12:00:00,0.714,0.97,1.102
2024-09-09 13:00:00,0.715,0.815,1.619
2024-09-09 14:00:00,0.715,0.683,1.277
2024-09-09 15:00:00,0.715,0.709,2.12
2024-09-09 16:00:00,0.716,0.651,1.664
2024-09-09 17:00:00,0.716,0.54,1.748
2024-09-09 18:00:00,0.717,0.472,1.368
2024-09-09 19:00:00,0.717,0.492,1.018
2024-09-09 20:00:00,0.717,0.474,0.882
2024-09-09 21:00:00,0.718,0.393,0.98
2024-09-09 22:00:00,0.718,0.411,2.166
2024-09-09 23:00:00,0.719,0.371,2.075
2024-09-10 00:00:00,0.719,0.342,1.664
2024-09-10 01:00:00,0.719,0.37,2.067
2024-09-10 02:00:00,0.72,0.427,1.74
2024-09-10 03:00:00,0.72,0.417,2.113
2024-09-10 04:00:00,0.721,0.415,2.356
2024-09-10 05:00:00,0.721,0.499,2.158
2024-09-10 06:00:00,0.721,0.434,2.029
2024-09-10 07:00:00,0.722,0.48,1.9
2024-09-10 08:00:00,0.722,0.487,1.649
2024-09-10 09:00:00,0.723,0.494,1.208
2024-09-10 10:00:00,0.723,0.539,1.254
2024-09-10 11:00:00,0.723,0.552,1.026
2024-09-10 12:00:00,0.724,0.528,1.178
2024-09-10 13:00:00,0.724,0.491,1.702
2024-09-10 14:00:00,0.724,0.384,1.543
2024-09-10 15:00:00,0.725,0.387,1.915
2024-09-10 16:00:00,0.725,0.467,1.763
2024-09-10 17:00:00,0.726,0.437,1.117
2024-09-10 18:00:00,0.726,0.293,1.094
2024-09-10 19:00:00,0.726,0.229,0.73
2024-09-10 20:00:00,0.727,0.12,0.806
2024-09-10 21:00:00,0.727,0.134,0.851
2024-09-10 22:00:00,0.728,0.215,0.646
2024-09-10 23:00:00,0.728,0.326,0.714
2024-09-11 00:00:00,0.728,0.44,1.49
2024-09-11 01:00:00,0.729,0.378,1.619
2024-09-11 02:00:00,0.729,0.51,1.277
2024-09-11 03:00:00,0.73,0.585,1.459
2024-09-11 04:00:00,0.73,0.674,1.657
2024-09-11 05:00:00,0.73,0.617,2.242
2024-09-11 06:00:00,0.731,0.643,1.756
2024-09-11 07:00:00,0.731,0.696,1.794
2024-09-11 08:00:00,0.732,0.601,1.353
2024-09-11 09:00:00,0.732,0.701,1.049
2024-09-11 10:00:00,0.732,0.806,0.882
2024-09-11 11:00:00,0.733,0.835,0.699
2024-09-11 12:00:00,0.733,0.767,0.821
2024-09-11 13:00:00,0.734,0.794,0.813
2024-09-11 14:00:00,0.734,0.824,0.98
