time,24bs2c_eco_0012m,24bs2c_eco_0023m,24bs2c_eco_0045m
2024-03-28 21:00:00,24.444,,
2024-03-28 22:00:00,24.443,,
2024-03-28 23:00:00,24.443,,
2024-03-29 00:00:00,24.443,,
2024-03-29 01:00:00,24.443,,
2024-03-29 02:00:00,24.442,,
2024-03-29 03:00:00,24.442,,
2024-03-29 04:00:00,24.442,,
2024-03-29 05:00:00,24.441,,
2024-03-29 06:00:00,24.441,,
2024-03-29 07:00:00,24.441,,
2024-03-29 08:00:00,24.441,,
2024-03-29 09:00:00,24.44,,
2024-03-29 10:00:00,24.44,,
2024-03-29 11:00:00,24.44,,
2024-03-29 12:00:00,24.439,,
2024-03-29 13:00:00,24.439,,
2024-03-29 14:00:00,24.439,,
2024-03-29 15:00:00,24.439,,
2024-03-29 16:00:00,24.438,,
2024-03-29 17:00:00,24.438,,
2024-03-29 18:00:00,24.438,,
2024-03-29 19:00:00,24.437,,
2024-03-29 20:00:00,24.437,,
2024-03-29 21:00:00,24.437,,
2024-03-29 22:00:00,24.437,,
2024-03-29 23:00:00,24.436,,
2024-03-30 00:00:00,24.436,,
2024-03-30 01:00:00,24.436,,
2024-03-30 02:00:00,24.435,,
2024-03-30 03:00:00,24.435,,
2024-03-30 04:00:00,24.435,,
2024-03-30 05:00:00,24.435,,
2024-03-30 06:00:00,24.434,,
2024-03-30 07:00:00,24.434,,
2024-03-30 08:00:00,24.434,,
2024-03-30 09:00:00,24.433,,
2024-03-30 10:00:00,24.433,,
2024-03-30 11:00:00,24.433,,
2024-03-30 12:00:00,24.433,,
2024-03-30 13:00:00,24.432,,
2024-03-30 14:00:00,24.432,,
2024-03-30 15:00:00,24.432,,
2024-03-30 16:00:00,24.431,,
2024-03-30 17:00:00,24.431,,
2024-03-30 18:00:00,24.431,,
2024-03-30 19:00:00,24.431,,
2024-03-30 20:00:00,24.43,,
2024-03-30 21:00:00,24.43,,
2024-03-30 22:00:00,24.43,,
2024-03-30 23:00:00,24.429,,
2024-03-31 00:00:00,24.429,,
2024-03-31 01:00:00,24.429,,
2024-03-31 02:00:00,24.428,,
2024-03-31 03:00:00,24.428,,
2024-03-31 04:00:00,24.428,,
2024-03-31 05:00:00,24.428,,
2024-03-31 06:00:00,24.427,,
2024-03-31 07:00:00,24.427,,
2024-03-31 08:00:00,24.427,,
2024-03-31 09:00:00,24.426,,
2024-03-31 10:00:00,24.426,,
2024-03-31 11:00:00,24.426,,
2024-03-31 12:00:00,24.426,,
2024-03-31 13:00:00,24.425,,
2024-03-31 14:00:00,24.425,,
2024-03-31 15:00:00,24.425,,
2024-03-31 16:00:00,24.424,,
2024-03-31 17:00:00,24.424,,
2024-03-31 18:00:00,24.424,,
2024-03-31 19:00:00,24.424,,
2024-03-31 20:00:00,24.423,,
2024-03-31 21:00:00,24.423,,
2024-03-31 22:00:00,24.423,,
2024-03-31 23:00:00,24.422,,
2024-04-01 00:00:00,24.422,,
2024-04-01 01:00:00,24.422,,
2024-04-01 02:00:00,24.422,,
2024-04-01 03:00:00,24.421,,
2024-04-01 04:00:00,24.421,,
2024-04-01 05:00:00,24.421,,
2024-04-01 06:00:00,24.42,,
2024-04-01 07:00:00,24.42,,
2024-04-01 08:00:00,24.42,,
2024-04-01 09:00:00,24.42,,
2024-04-01 10:00:00,24.419,,
2024-04-01 11:00:00,24.419,,
2024-04-01 12:00:00,24.419,,
2024-04-01 13:00:00,24.418,,
2024-04-01 14:00:00,24.418,,
2024-04-01 15:00:00,24.418,,
2024-04-01 16:00:00,24.418,,
2024-04-01 17:00:00,24.417,,
2024-04-01 18:00:00,24.417,,
2024-04-01 19:00:00,24.417,,
2024-04-01 20:00:00,24.416,,
2024-04-01 21:00:00,24.416,,
2024-04-01 22:00:00,24.416,,
2024-04-01 23:00:00,24.416,,
2024-04-02 00:00:00,24.415,,
2024-04-02 01:00:00,24.415,,
2024-04-02 02:00:00,24.415,,
2024-04-02 03:00:00,24.414,,
2024-04-02 04:00:00,24.414,,
2024-04-02 05:00:00,24.414,,
2024-04-02 06:00:00,24.414,,
2024-04-02 07:00:00,24.413,,
2024-04-02 08:00:00,24.413,,
2024-04-02 09:00:00,24.413,,
2024-04-02 10:00:00,24.412,,
2024-04-02 11:00:00,24.412,,
2024-04-02 12:00:00,24.412,,
2024-04-02 13:00:00,24.411,,
2024-04-02 14:00:00,24.411,,
2024-04-02 15:00:00,24.411,,
2024-04-02 16:00:00,24.411,,
2024-04-02 17:00:00,24.41,,
2024-04-02 18:00:00,24.41,,
2024-04-02 19:00:00,24.41,,
2024-04-02 20:00:00,24.409,,
2024-04-02 21:00:00,24.409,,
2024-04-02 22:00:00,24.409,,
2024-04-02 23:00:00,24.409,,
2024-04-03 00:00:00,24.408,,
2024-04-03 01:00:00,24.408,,
2024-04-03 02:00:00,24.408,,
2024-04-03 03:00:00,24.407,,
2024-04-03 04:00:00,24.407,,
2024-04-03 05:00:00,24.407,,
2024-04-03 06:00:00,24.407,,
2024-04-03 07:00:00,24.406,,
2024-04-03 08:00:00,24.406,,
2024-04-03 09:00:00,24.406,,
2024-04-03 10:00:00,24.405,,
2024-04-03 11:00:00,24.405,,
2024-04-03 12:00:00,24.405,,
2024-04-03 13:00:00,24.405,,
2024-04-03 14:00:00,24.404,,
2024-04-03 15:00:00,24.404,,
2024-04-03 16:00:00,24.404,,
2024-04-03 17:00:00,24.403,,
2024-04-03 18:00:00,24.403,,
2024-04-03 19:00:00,24.403,,
2024-04-03 20:00:00,24.403,,
2024-04-03 21:00:00,24.402,,
2024-04-03 22:00:00,24.402,,
2024-04-03 23:00:00,24.402,,
2024-04-04 00:00:00,24.401,,
2024-04-04 01:00:00,24.401,,
2024-04-04 02:00:00,24.401,,
2024-04-04 03:00:00,24.401,,
2024-04-04 04:00:00,24.4,,
2024-04-04 05:00:00,24.4,,
2024-04-04 06:00:00,24.4,,
2024-04-04 07:00:00,24.399,,
2024-04-04 08:00:00,24.399,,
2024-04-04 09:00:00,24.399,,
2024-04-04 10:00:00,24.399,,
2024-04-04 11:00:00,24.398,,
2024-04-04 12:00:00,24.398,,
2024-04-04 13:00:00,24.398,,
2024-04-04 14:00:00,24.397,,
2024-04-04 15:00:00,24.397,,
2024-04-04 16:00:00,24.397,,
2024-04-04 17:00:00,24.397,,
2024-04-04 18:00:00,24.396,,
2024-04-04 19:00:00,24.396,,
2024-04-04 20:00:00,24.396,,
2024-04-04 21:00:00,24.395,,
2024-04-04 22:00:00,24.395,,
2024-04-04 23:00:00,24.395,,
2024-04-05 00:00:00,24.394,,
2024-04-05 01:00:00,24.394,,
2024-04-05 02:00:00,24.394,,
2024-04-05 03:00:00,24.394,,
2024-04-05 04:00:00,24.393,,
2024-04-05 05:00:00,24.393,,
2024-04-05 06:00:00,24.393,,
2024-04-05 07:00:00,24.392,,
2024-04-05 08:00:00,24.392,,
2024-04-05 09:00:00,24.392,,
2024-04-05 10:00:00,24.392,,
2024-04-05 11:00:00,24.391,,
2024-04-05 12:00:00,24.391,,
2024-04-05 13:00:00,24.391,,
2024-04-05 14:00:00,24.39,,
2024-04-05 15:00:00,24.39,,
2024-04-05 16:00:00,24.39,,
2024-04-05 17:00:00,24.39,,
2024-04-05 18:00:00,24.389,,
2024-04-05 19:00:00,24.389,,
2024-04-05 20:00:00,24.389,,
2024-04-05 21:00:00,24.388,,
2024-04-05 22:00:00,24.388,,
2024-04-05 23:00:00,24.388,,
2024-04-06 00:00:00,24.388,,
2024-04-06 01:00:00,24.387,,
2024-04-06 02:00:00,24.387,,
2024-04-06 03:00:00,24.387,,
2024-04-06 04:00:00,24.386,,
2024-04-06 05:00:00,24.386,,
2024-04-06 06:00:00,24.386,,
2024-04-06 07:00:00,24.386,,
2024-04-06 08:00:00,24.385,,
2024-04-06 09:00:00,24.385,,
2024-04-06 10:00:00,24.385,,
2024-04-06 11:00:00,24.384,,
2024-04-06 12:00:00,24.384,,
2024-04-06 13:00:00,24.384,,
2024-04-06 14:00:00,24.384,,
2024-04-06 15:00:00,24.383,,
2024-04-06 16:00:00,24.383,,
2024-04-06 17:00:00,24.383,,
2024-04-06 18:00:00,24.382,,
2024-04-06 19:00:00,24.382,,
2024-04-06 20:00:00,24.382,,
2024-04-06 21:00:00,24.382,,
2024-04-06 22:00:00,24.381,,
2024-04-06 23:00:00,24.381,,
2024-04-07 00:00:00,24.381,,
2024-04-07 01:00:00,24.38,,
2024-04-07 02:00:00,24.38,,
2024-04-07 03:00:00,24.38,,
2024-04-07 04:00:00,24.38,,
2024-04-07 05:00:00,24.379,,
2024-04-07 06:00:00,24.379,,
2024-04-07 07:00:00,24.379,,
2024-04-07 08:00:00,24.378,,
2024-04-07 09:00:00,24.378,,
2024-04-07 10:00:00,24.378,,
2024-04-07 11:00:00,24.378,,
2024-04-07 12:00:00,24.377,,
2024-04-07 13:00:00,24.377,,
2024-04-07 14:00:00,24.377,,
2024-04-07 15:00:00,24.376,,
2024-04-07 16:00:00,24.376,,
2024-04-07 17:00:00,24.376,,
2024-04-07 18:00:00,24.375,,
2024-04-07 19:00:00,24.375,,
2024-04-07 20:00:00,24.375,,
2024-04-07 21:00:00,24.375,,
2024-04-07 22:00:00,24.374,,
2024-04-07 23:00:00,24.374,,
2024-04-08 00:00:00,24.374,,
2024-04-08 01:00:00,24.373,,
2024-04-08 02:00:00,24.373,,
2024-04-08 03:00:00,24.373,,
2024-04-08 04:00:00,24.373,,
2024-04-08 05:00:00,24.372,,
2024-04-08 06:00:00,24.372,,
2024-04-08 07:00:00,24.372,,
2024-04-08 08:00:00,24.371,,
2024-04-08 09:00:00,24.371,,
2024-04-08 10:00:00,24.371,,
2024-04-08 11:00:00,24.371,,
2024-04-08 12:00:00,24.37,,
2024-04-08 13:00:00,24.37,,
2024-04-08 14:00:00,24.37,,
2024-04-08 15:00:00,24.369,,
2024-04-08 16:00:00,24.369,,
2024-04-08 17:00:00,24.369,,
2024-04-08 18:00:00,24.369,,
2024-04-08 19:00:00,24.368,,
