time,24bs2c_s16_0012m,24bs2c_s16_0023m
2024-09-08 23:00:00,293.256,286.005
2024-09-09 00:00:00,293.16,286.119
2024-09-09 01:00:00,293.301,286.158
2024-09-09 02:00:00,293.241,286.374
2024-09-09 03:00:00,293.179,286.396
2024-09-09 04:00:00,293.075,286.503
2024-09-09 05:00:00,292.338,283.334
2024-09-09 06:00:00,291.73,286.112
2024-09-09 07:00:00,291.436,285.856
2024-09-09 08:00:00,290.896,285.26
2024-09-09 09:00:00,290.123,282.049
2024-09-09 10:00:00,290.131,284.136
2024-09-09 11:00:00,289.021,283.92
2024-09-09 12:00:00,289.626,284.06
2024-09-09 13:00:00,290.868,284.775
2024-09-09 14:00:00,290.708,282.699
2024-09-09 15:00:00,291.334,282.596
2024-09-09 16:00:00,292.143,284.975
2024-09-09 17:00:00,290.982,284.018
2024-09-09 18:00:00,291.46,283.326
2024-09-09 19:00:00,290.834,282.888
2024-09-09 20:00:00,290.467,282.525
2024-09-09 21:00:00,290.311,282.303
2024-09-09 22:00:00,291.452,281.101
2024-09-09 23:00:00,291.691,283.923
2024-09-10 00:00:00,291.49,284.361
2024-09-10 01:00:00,290.501,284.153
2024-09-10 02:00:00,290.514,284.045
2024-09-10 03:00:00,290.711,283.897
2024-09-10 04:00:00,290.93,284.136
2024-09-10 05:00:00,290.977,284.3
2024-09-10 06:00:00,290.966,281.668
2024-09-10 07:00:00,290.863,281.569
2024-09-10 08:00:00,290.557,283.693
2024-09-10 09:00:00,290.144,283.196
2024-09-10 10:00:00,289.462,282.71
2024-09-10 11:00:00,289.38,282.621
2024-09-10 12:00:00,289.098,282.434
2024-09-10 13:00:00,288.879,280.703
2024-09-10 14:00:00,289.054,283.959
2024-09-10 15:00:00,289.505,281.857
2024-09-10 16:00:00,289.627,279.504
2024-09-10 17:00:00,289.295,281.395
2024-09-10 18:00:00,288.952,281.092
2024-09-10 19:00:00,288.593,280.349
2024-09-10 20:00:00,288.426,280.372
2024-09-10 21:00:00,288.409,277.477
2024-09-10 22:00:00,288.51,280.208
2024-09-10 23:00:00,289.016,280.557
2024-09-11 00:00:00,289.21,281.037
2024-09-11 01:00:00,288.94,282.468
2024-09-11 02:00:00,288.302,280.691
2024-09-11 03:00:00,287.97,279.716
2024-09-11 04:00:00,288.092,280.414
2024-09-11 05:00:00,287.774,281.937
2024-09-11 06:00:00,287.683,281.752
2024-09-11 07:00:00,287.479,278.531
2024-09-11 08:00:00,287.245,281.358
2024-09-11 09:00:00,287.211,278.062
2024-09-11 10:00:00,287.237,277.406
2024-09-11 11:00:00,287.64,279.824
2024-09-11 12:00:00,287.151,279.719
2024-09-11 13:00:00,286.749,279.738
2024-09-11 14:00:00,286.156,279.445
2024-09-11 15:00:00,285.989,281.223
2024-09-11 16:00:00,286.659,279.591
2024-09-11 17:00:00,287.1,279.737
2024-09-11 18:00:00,287.2,279.666
2024-09-11 19:00:00,288.449,276.857
2024-09-11 20:00:00,288.015,278.322
