time,24bs2c_s16_0012m,24bs2c_s16_0023m
2024-09-08 23:00:00,31.77,31.776
2024-09-09 00:00:00,31.772,31.776
2024-09-09 01:00:00,31.771,31.775
2024-09-09 02:00:00,31.771,31.775
2024-09-09 03:00:00,31.771,31.774
2024-09-09 04:00:00,31.771,31.774
2024-09-09 05:00:00,31.771,31.775
2024-09-09 06:00:00,31.771,31.775
2024-09-09 07:00:00,31.773,31.777
2024-09-09 08:00:00,31.774,31.777
2024-09-09 09:00:00,31.775,31.778
2024-09-09 10:00:00,31.776,31.779
2024-09-09 11:00:00,31.776,31.78
2024-09-09 12:00:00,31.776,31.778
2024-09-09 13:00:00,31.772,31.776
2024-09-09 14:00:00,31.772,31.775
2024-09-09 15:00:00,31.775,31.776
2024-09-09 16:00:00,31.773,31.777
2024-09-09 17:00:00,31.777,31.778
2024-09-09 18:00:00,31.775,31.777
2024-09-09 19:00:00,31.772,31.777
2024-09-09 20:00:00,31.776,31.778
2024-09-09 21:00:00,31.776,31.778
2024-09-09 22:00:00,31.774,31.778
2024-09-09 23:00:00,31.77,31.778
2024-09-10 00:00:00,31.768,31.777
2024-09-10 01:00:00,31.775,31.777
2024-09-10 02:00:00,31.776,31.777
2024-09-10 03:00:00,31.774,31.778
2024-09-10 04:00:00,31.776,31.776
2024-09-10 05:00:00,31.775,31.777
2024-09-10 06:00:00,31.773,31.776
2024-09-10 07:00:00,31.775,31.776
2024-09-10 08:00:00,31.773,31.779
2024-09-10 09:00:00,31.775,31.779
2024-09-10 10:00:00,31.775,31.779
2024-09-10 11:00:00,31.777,31.779
2024-09-10 12:00:00,31.776,31.78
2024-09-10 13:00:00,31.774,31.779
2024-09-10 14:00:00,31.774,31.776
2024-09-10 15:00:00,31.773,31.777
2024-09-10 16:00:00,31.772,31.776
2024-09-10 17:00:00,31.773,31.777
2024-09-10 18:00:00,31.773,31.774
2024-09-10 19:00:00,31.773,31.773
2024-09-10 20:00:00,31.774,31.771
2024-09-10 21:00:00,31.773,31.771
2024-09-10 22:00:00,31.773,31.77
2024-09-10 23:00:00,31.774,31.773
2024-09-11 00:00:00,31.774,31.777
2024-09-11 01:00:00,31.776,31.777
2024-09-11 02:00:00,31.777,31.778
2024-09-11 03:00:00,31.777,31.777
2024-09-11 04:00:00,31.779,31.78
2024-09-11 05:00:00,31.78,31.778
2024-09-11 06:00:00,31.78,31.778
2024-09-11 07:00:00,31.78,31.779
2024-09-11 08:00:00,31.78,31.779
2024-09-11 09:00:00,31.782,31.78
2024-09-11 10:00:00,31.783,31.783
2024-09-11 11:00:00,31.785,31.783
2024-09-11 12:00:00,31.777,31.782
2024-09-11 13:00:00,31.781,31.782
2024-09-11 14:00:00,31.774,31.782
2024-09-11 15:00:00,31.772,31.778
2024-09-11 16:00:00,31.768,31.777
2024-09-11 17:00:00,31.768,31.774
2024-09-11 18:00:00,31.764,31.77
2024-09-11 19:00:00,31.762,31.768
2024-09-11 20:00:00,31.763,31.767
2024-09-11 21:00:00,31.761,31.769
2024-09-11 22:00:00,31.743,31.767
2024-09-11 23:00:00,31.748,31.77
2024-09-12 00:00:00,31.741,31.773
2024-09-12 01:00:00,31.747,31.778
2024-09-12 02:00:00,31.745,31.782
2024-09-12 03:00:00,31.743,31.782
2024-09-12 04:00:00,31.743,31.781
2024-09-12 05:00:00,31.746,31.787
2024-09-12 06:00:00,31.746,31.788
2024-09-12 07:00:00,31.747,31.788
2024-09-12 08:00:00,31.748,31.79
2024-09-12 09:00:00,31.747,31.783
2024-09-12 10:00:00,31.748,31.786
2024-09-12 11:00:00,31.752,31.787
2024-09-12 12:00:00,31.754,31.785
2024-09-12 13:00:00,31.754,31.787
2024-09-12 14:00:00,31.751,31.759
2024-09-12 15:00:00,31.75,31.771
2024-09-12 16:00:00,31.747,31.774
2024-09-12 17:00:00,31.743,31.755
2024-09-12 18:00:00,31.741,31.757
2024-09-12 19:00:00,31.737,31.744
2024-09-12 20:00:00,31.736,31.748
2024-09-12 21:00:00,31.737,31.749
2024-09-12 22:00:00,31.738,31.748
2024-09-12 23:00:00,31.741,31.76
2024-09-13 00:00:00,31.745,31.76
2024-09-13 01:00:00,31.743,31.759
2024-09-13 02:00:00,31.74,31.758
2024-09-13 03:00:00,31.745,31.763
2024-09-13 04:00:00,31.749,31.769
2024-09-13 05:00:00,31.749,31.768
2024-09-13 06:00:00,31.749,31.765
2024-09-13 07:00:00,31.75,31.76
2024-09-13 08:00:00,31.749,31.754
2024-09-13 09:00:00,31.748,31.764
2024-09-13 10:00:00,31.746,31.764
2024-09-13 11:00:00,31.746,31.769
2024-09-13 12:00:00,31.748,31.76
2024-09-13 13:00:00,31.749,31.763
2024-09-13 14:00:00,31.749,31.766
2024-09-13 15:00:00,31.749,31.757
2024-09-13 16:00:00,31.748,31.753
2024-09-13 17:00:00,31.744,31.755
2024-09-13 18:00:00,31.744,31.752
2024-09-13 19:00:00,31.74,31.748
2024-09-13 20:00:00,31.738,31.752
2024-09-13 21:00:00,31.74,31.752
2024-09-13 22:00:00,31.74,31.753
2024-09-13 23:00:00,31.74,31.751
2024-09-14 00:00:00,31.746,31.756
2024-09-14 01:00:00,31.75,31.761
2024-09-14 02:00:00,31.753,31.758
2024-09-14 03:00:00,31.747,31.762
2024-09-14 04:00:00,31.744,31.751
2024-09-14 05:00:00,31.745,31.76
2024-09-14 06:00:00,31.736,31.746
2024-09-14 07:00:00,31.732,31.752
2024-09-14 08:00:00,31.737,31.747
2024-09-14 09:00:00,31.739,31.739
2024-09-14 10:00:00,31.738,31.739
