time,24bs2c_s16_0012m,24bs2c_s16_0023m,24bs2c_s39_0027m,24bs2c_s39_0031m,24bs2c_s39_0035m,24bs2c_s39_0040m,24bs2c_s39_0050m,24bs2c_s39_0060m,24bs2c_s56_0045m,24bs2c_tdgp_0012m
2024-09-08 22:00:00,,,8.978,8.932,3.32,3.315,3.317,3.318,3.315,
2024-09-08 23:00:00,9.001,8.978,8.974,8.933,3.312,3.303,3.306,3.308,3.302,8.795
2024-09-09 00:00:00,8.977,8.974,8.971,8.938,3.297,3.293,3.294,3.297,3.293,8.79
2024-09-09 01:00:00,8.981,8.972,8.971,8.954,3.292,3.288,3.289,3.293,3.288,8.798
2024-09-09 02:00:00,8.996,8.975,8.972,8.918,3.288,3.283,3.285,3.287,3.283,8.805
2024-09-09 03:00:00,8.987,8.974,8.973,8.907,3.299,3.281,3.285,3.286,3.283,8.8
2024-09-09 04:00:00,8.994,8.976,8.975,8.949,3.295,3.288,3.288,3.288,3.288,8.8
2024-09-09 05:00:00,8.998,8.977,8.975,8.938,3.302,3.294,3.293,3.292,3.293,8.8
2024-09-09 06:00:00,8.988,8.976,8.974,8.933,3.302,3.294,3.294,3.292,3.294,8.795
2024-09-09 07:00:00,8.988,8.975,8.971,8.826,3.297,3.291,3.29,3.289,3.29,8.79
2024-09-09 08:00:00,8.982,8.972,8.969,8.825,3.297,3.292,3.291,3.291,3.292,8.79
2024-09-09 09:00:00,8.976,8.969,8.967,8.83,3.309,3.299,3.294,3.292,3.296,8.79
2024-09-09 10:00:00,8.977,8.966,8.966,7.606,3.305,3.297,3.295,3.292,3.295,8.78
2024-09-09 11:00:00,8.971,8.967,8.966,8.861,3.297,3.291,3.289,3.286,3.288,8.785
2024-09-09 12:00:00,8.977,8.967,8.967,8.888,3.289,3.284,3.283,3.283,3.283,8.79
2024-09-09 13:00:00,8.998,8.968,8.97,8.957,3.297,3.292,3.292,3.294,3.293,8.79
2024-09-09 14:00:00,8.987,8.975,8.976,8.955,3.328,3.306,3.304,3.304,3.305,8.8
2024-09-09 15:00:00,9.006,8.983,8.981,8.937,3.441,3.318,3.314,3.314,3.316,8.84
2024-09-09 16:00:00,9.043,8.985,8.98,8.934,3.686,3.35,3.344,3.339,3.348,8.84
2024-09-09 17:00:00,9.014,8.98,8.97,8.911,3.87,3.382,3.366,3.354,3.384,8.83
2024-09-09 18:00:00,9.024,8.972,8.964,8.886,3.797,3.562,3.425,3.377,3.465,8.825
2024-09-09 19:00:00,9.026,8.968,8.956,8.658,3.687,3.572,3.493,3.394,3.52,8.83
2024-09-09 20:00:00,9.027,8.968,8.958,8.721,3.616,3.538,3.484,3.379,3.512,8.84
2024-09-09 21:00:00,9.027,8.97,8.965,8.692,3.556,3.505,3.378,3.355,3.417,8.85
2024-09-09 22:00:00,9.062,8.978,8.978,8.9,3.346,3.338,3.336,3.335,3.335,8.865
2024-09-09 23:00:00,9.077,8.984,8.978,8.866,3.337,3.326,3.323,3.319,3.322,8.88
2024-09-10 00:00:00,9.112,8.982,8.974,8.856,3.316,3.303,3.303,3.304,3.302,8.89
2024-09-10 01:00:00,9.088,8.973,8.97,8.925,3.293,3.289,3.29,3.293,3.289,8.89
2024-09-10 02:00:00,9.08,8.972,8.969,8.959,3.298,3.283,3.281,3.285,3.28,8.9
2024-09-10 03:00:00,9.097,8.972,8.97,8.963,3.328,3.279,3.279,3.282,3.278,8.905
2024-09-10 04:00:00,9.094,8.973,8.97,8.944,3.298,3.284,3.285,3.286,3.285,8.9
2024-09-10 05:00:00,9.088,8.973,8.971,8.9,3.293,3.291,3.291,3.29,3.29,8.9
2024-09-10 06:00:00,9.097,8.975,8.973,8.818,3.296,3.294,3.293,3.292,3.293,8.9
2024-09-10 07:00:00,9.092,8.975,8.971,8.518,3.294,3.292,3.291,3.289,3.291,8.9
2024-09-10 08:00:00,9.097,8.973,8.971,8.343,3.293,3.29,3.289,3.288,3.288,8.9
2024-09-10 09:00:00,9.094,8.972,8.968,6.825,3.295,3.29,3.289,3.287,3.288,8.9
2024-09-10 10:00:00,9.093,8.97,8.966,8.55,3.295,3.288,3.286,3.285,3.286,8.9
2024-09-10 11:00:00,9.089,8.97,8.966,8.939,3.295,3.283,3.282,3.281,3.281,8.89
2024-09-10 12:00:00,9.087,8.969,8.969,8.89,3.287,3.281,3.281,3.28,3.281,8.89
2024-09-10 13:00:00,9.088,9.003,8.973,8.884,3.297,3.291,3.29,3.291,3.291,8.888
2024-09-10 14:00:00,9.087,9.007,8.979,8.895,3.315,3.305,3.303,3.304,3.305,8.89
2024-09-10 15:00:00,9.09,8.987,8.98,8.93,3.468,3.327,3.326,3.324,3.33,8.895
2024-09-10 16:00:00,9.1,8.985,8.973,8.944,5.43,3.531,3.405,3.366,3.493,8.9
2024-09-10 17:00:00,9.098,8.978,8.962,8.894,4.245,3.598,3.529,3.43,3.558,8.9
2024-09-10 18:00:00,9.094,8.964,8.948,8.907,4.087,3.617,3.542,3.503,3.547,8.9
2024-09-10 19:00:00,9.094,8.95,8.938,8.758,3.829,3.579,3.54,3.514,3.547,8.9
2024-09-10 20:00:00,9.092,8.948,8.932,7.903,3.748,3.547,3.527,3.512,3.531,8.9
2024-09-10 21:00:00,9.094,8.954,8.945,8.706,3.733,3.545,3.513,3.497,3.517,8.9
