time,24bs4a_mt3122_0060m,24bs4a_mt3276_0060m,24bs4a_mt4032_0067m,24bs4a_mt4072_0067m,24bs4a_s16_0009m,24bs4a_s37_0015m,24bs4a_s37_0028m,24bs4a_s37_0055m,24bs4a_s39_0012m,24bs4a_s39_0016m,24bs4a_s39_0024m,24bs4a_s39_0035m,24bs4a_s56_0020m,24bs4a_s56_0040m,24bs4a_s56_0050m
2024-04-24 00:00:00,23.894,24.009,23.938,,,,,,,,,,,,
2024-04-24 01:00:00,23.873,23.988,23.917,,,,,,,,,,,,
2024-04-24 02:00:00,23.851,23.965,23.897,,,,,,,,,,,,
2024-04-24 03:00:00,23.825,23.94,23.871,,,,,,,,,,,,
2024-04-24 04:00:00,23.8,23.912,23.844,,,,,,,,,,,,
2024-04-24 05:00:00,23.791,23.901,23.835,,,,,,,,,,,,
2024-04-24 06:00:00,23.852,23.95,23.888,,,,,,,,,,,,
2024-04-24 07:00:00,23.795,23.879,23.838,,,,,,,,,,,,
2024-04-24 08:00:00,23.627,23.7,23.678,,,,,,,,,,,,
2024-04-24 09:00:00,23.487,23.557,23.534,,,,,,,,,,,,
2024-04-24 10:00:00,23.407,23.479,23.447,,,,,,,,,,,,
2024-04-24 11:00:00,23.369,23.449,23.407,,,,,,,,,,,,
2024-04-24 12:00:00,23.363,23.444,23.399,,,,,,,,,,,,
2024-04-24 13:00:00,23.374,23.451,23.408,,,,,,,,,,,,
2024-04-24 14:00:00,23.377,23.451,23.412,,,,,,,,,,,,
2024-04-24 15:00:00,23.378,23.451,23.413,,,,,,,,,,,,
2024-04-24 16:00:00,23.368,23.428,23.374,,,,,,,,,,,,
2024-04-24 17:00:00,23.436,23.518,23.452,,,,,,,,,,,,
2024-04-24 18:00:00,23.652,23.769,23.672,,,,,,,,,,,,
2024-04-24 19:00:00,23.873,23.992,23.893,,,,,,,,,,,,
2024-04-24 20:00:00,23.93,24.038,23.959,,,,,,,,,,,,
2024-04-24 21:00:00,23.859,23.959,23.9,,,,,,,,,,,,
2024-04-24 22:00:00,23.702,23.79,23.747,,,,,,,,,,,,
2024-04-24 23:00:00,23.505,23.588,23.552,,,,,,,,,,,,
2024-04-25 00:00:00,23.289,23.367,23.336,,,,,,,,,,,,
2024-04-25 01:00:00,23.127,23.188,23.171,,,,,,,,,,,,
2024-04-25 02:00:00,22.995,23.056,23.033,,,,,,,,,,,,
2024-04-25 03:00:00,22.834,22.899,22.873,,,,,,,,,,,,
2024-04-25 04:00:00,22.657,22.717,22.698,,,,,,,,,,,,
2024-04-25 05:00:00,22.477,22.537,22.517,,,,,,,,,,,,
2024-04-25 06:00:00,22.302,22.357,22.341,,,,,,,,,,,,
2024-04-25 07:00:00,22.142,22.197,22.178,,,,,,,,,,,,
2024-04-25 08:00:00,21.997,22.056,22.032,,,,,,,,,,,,
2024-04-25 09:00:00,21.868,21.923,21.905,,,,,,,,,,,,
2024-04-25 10:00:00,21.784,21.838,21.821,,,,,,,,,,,,
2024-04-25 11:00:00,21.73,21.787,21.764,,,,,,,,,,,,
2024-04-25 12:00:00,21.696,21.757,21.728,,,,,,,,,,,,
2024-04-25 13:00:00,21.667,21.737,21.699,,,,,,,,,,,,
2024-04-25 14:00:00,21.639,21.707,21.671,,,,,,,,,,,,
2024-04-25 15:00:00,21.613,21.676,21.646,,,,,,,,,,,,
2024-04-25 16:00:00,21.318,21.288,21.336,,,,,,,,,,,,
2024-04-25 17:00:00,17.619,17.519,17.863,,,,,,,,,,,,
2024-04-25 18:00:00,15.394,15.285,15.543,,,,,,,,,,,,
2024-04-25 19:00:00,14.431,14.282,14.473,,,,,,,,,,,,
2024-04-25 20:00:00,13.945,13.801,13.947,,,,,,,,,,,,
2024-04-25 21:00:00,13.116,12.992,13.112,,,,,,,,,,,,
2024-04-25 22:00:00,11.985,11.82,11.985,,,,,,,,,,,,
2024-04-25 23:00:00,11.057,10.887,11.05,,,,,,,,,,,,
2024-04-26 00:00:00,10.481,10.332,10.469,,,,,,,,,,,,
2024-04-26 01:00:00,10.223,10.082,10.202,,,,,,,,,,,,
2024-04-26 02:00:00,10.136,9.994,10.111,,,,,,,,,,,,
2024-04-26 03:00:00,10.362,10.167,10.302,,,,,,,,,,,,
2024-04-26 04:00:00,10.461,10.318,10.421,,,,,,,,,,,,
2024-04-26 05:00:00,10.457,10.345,10.431,,,,,,,,,,,,
2024-04-26 06:00:00,10.452,10.352,10.434,,,,,,,,,,,,
2024-04-26 07:00:00,10.284,10.218,10.284,,,,,,,,,,,,
2024-04-26 08:00:00,9.98,9.922,9.995,,,,,,,,,,,,
2024-04-26 09:00:00,9.607,9.557,9.632,,,,,,,,,,,,
2024-04-26 10:00:00,9.151,9.096,9.181,,,,,,,,,,,,
2024-04-26 11:00:00,8.81,8.744,8.83,,,,,,,,,,,,
2024-04-26 12:00:00,8.603,8.533,8.617,,,,,,,,,,,,
2024-04-26 13:00:00,8.606,8.526,8.604,,,,,,,,,,,,
2024-04-26 14:00:00,8.536,8.479,8.541,,,,,,,,,,,,
2024-04-26 15:00:00,8.59,8.515,8.586,,,,,,,,,,,,
2024-04-26 16:00:00,8.723,8.626,8.708,,,,,,,,,,,,
2024-04-26 17:00:00,8.916,8.804,8.884,,,,,,,,,,,,
2024-04-26 18:00:00,8.992,8.89,8.957,,,,,,,,,,,,
2024-04-26 19:00:00,8.961,8.874,8.929,,,,,,,,,,,,
2024-04-26 20:00:00,8.865,8.764,8.838,,,,,,,,,,,,
2024-04-26 21:00:00,8.55,8.454,8.532,,,,,,,,,,,,
2024-04-26 22:00:00,8.642,8.487,8.604,,,,,,,,,,,,
2024-04-26 23:00:00,9.052,8.869,8.979,,,,,,,,,,,,
2024-04-27 00:00:00,9.605,9.389,9.531,,,,,,,,,,,,
2024-04-27 01:00:00,9.791,9.548,9.719,,,,,,,,,,,,
2024-04-27 02:00:00,9.692,9.474,9.64,,,,,,,,,,,,
2024-04-27 03:00:00,9.808,9.605,9.75,,,,,,,,,,,,
2024-04-27 04:00:00,10.189,9.984,10.123,,,,,,,,,,,,
2024-04-27 05:00:00,10.93,10.724,10.834,,,,,,,,,,,,
2024-04-27 06:00:00,11.717,11.495,11.607,,,,,,,,,,,,
2024-04-27 07:00:00,12.357,12.109,12.24,,,,,,,,,,,,
2024-04-27 08:00:00,12.335,12.064,12.266,,,,,,,,,,,,
2024-04-27 09:00:00,12.531,12.282,12.449,,,,,,,,,,,,
2024-04-27 10:00:00,12.662,12.402,12.593,,,,,,,,,,,,
2024-04-27 11:00:00,12.663,12.419,12.596,,,,,,,,,,,,
2024-04-27 12:00:00,12.95,12.694,12.871,,,,,,,,,,,,
2024-04-27 13:00:00,12.779,12.555,12.728,,,,,,,,,,,,
2024-04-27 14:00:00,12.921,12.735,12.869,,,,,,,,,,,,
2024-04-27 15:00:00,12.789,12.598,12.751,,,,,,,,,,,,
2024-04-27 16:00:00,13.092,12.926,13.039,,,,,,,,,,,,
2024-04-27 17:00:00,13.395,13.243,13.345,,,,,,,,,,,,
2024-04-27 18:00:00,13.325,13.157,13.292,,,,,,,,,,,,
2024-04-27 19:00:00,13.644,13.452,13.591,,,,,,,,,,,,
2024-04-27 20:00:00,13.583,13.357,13.539,,,,,,,,,,,,
2024-04-27 21:00:00,13.897,13.668,13.826,,,,,,,,,,,,
2024-04-27 22:00:00,14.253,14.021,14.177,,,,,,,,,,,,
2024-04-27 23:00:00,14.259,13.991,14.19,,,,,,,,,,,,
2024-04-28 00:00:00,14.148,13.872,14.082,,8.59,,,,,,,,,,
2024-04-28 01:00:00,14.151,13.885,14.087,,8.635,,,,,,,,,,
2024-04-28 02:00:00,14.134,13.847,14.066,,7.927,,,,,,,,,,
2024-04-28 03:00:00,14.026,13.706,13.954,,7.284,,,,,,,,,,
2024-04-28 04:00:00,13.677,13.314,13.606,,6.639,,,,,,,,,,
2024-04-28 05:00:00,13.577,13.314,13.503,,6.423,,,,,,,,,,
2024-04-28 06:00:00,13.389,13.136,13.335,,5.861,,,,,,,,,,
2024-04-28 07:00:00,12.945,12.677,12.899,,5.35,,,,,,,,,,
2024-04-28 08:00:00,12.957,12.761,12.903,,5.384,,,,,,,,,,
2024-04-28 09:00:00,12.692,12.463,12.658,,5.042,,,,,,,,,,
2024-04-28 10:00:00,12.626,12.427,12.579,,4.899,,,,,,,,,,
2024-04-28 11:00:00,12.721,12.545,12.671,,5.025,,,,,,,,,,
2024-04-28 12:00:00,12.56,12.331,12.514,,5.533,,,,,,,,,,
2024-04-28 13:00:00,12.835,12.649,12.775,,6.334,,,,,,,,,,
