time,24bspr2a_rcmsg_0052m,24bspr2a_s16_0001m
2024-05-17 05:00:00,340.897,388.238
2024-05-17 06:00:00,336.28,400.918
2024-05-17 07:00:00,333.245,404.751
2024-05-17 08:00:00,330.679,394.749
2024-05-17 09:00:00,331.673,398.342
2024-05-17 10:00:00,333.716,390.015
2024-05-17 11:00:00,334.889,387.414
2024-05-17 12:00:00,336.689,380.6
2024-05-17 13:00:00,338.064,377.734
2024-05-17 14:00:00,338.79,377.929
2024-05-17 15:00:00,339.123,376.54
2024-05-17 16:00:00,339.516,375.557
2024-05-17 17:00:00,340.044,376.347
2024-05-17 18:00:00,339.261,377.777
2024-05-17 19:00:00,337.83,388.453
2024-05-17 20:00:00,336.126,388.545
2024-05-17 21:00:00,334.645,379.613
2024-05-17 22:00:00,333.458,373.657
2024-05-17 23:00:00,334.697,375.037
2024-05-18 00:00:00,335.495,376.612
2024-05-18 01:00:00,335.975,373.031
2024-05-18 02:00:00,336.629,370.196
2024-05-18 03:00:00,336.663,372.156
2024-05-18 04:00:00,336.94,372.348
2024-05-18 05:00:00,331.16,372.527
2024-05-18 06:00:00,324.202,371.231
2024-05-18 07:00:00,323.259,372.095
2024-05-18 08:00:00,322.363,378.006
2024-05-18 09:00:00,322.328,377.453
2024-05-18 10:00:00,322.641,372.537
2024-05-18 11:00:00,323.664,367.392
2024-05-18 12:00:00,330.87,368.223
2024-05-18 13:00:00,336.21,365.107
2024-05-18 14:00:00,337.222,365.465
2024-05-18 15:00:00,337.655,365.625
2024-05-18 16:00:00,337.813,367.137
2024-05-18 17:00:00,337.51,370.1
2024-05-18 18:00:00,336.546,373.296
2024-05-18 19:00:00,333.956,375.218
2024-05-18 20:00:00,328.685,378.556
2024-05-18 21:00:00,324.324,388.461
2024-05-18 22:00:00,323.467,387.789
2024-05-18 23:00:00,327.318,386.267
2024-05-19 00:00:00,333.397,383.227
2024-05-19 01:00:00,333.333,381.641
2024-05-19 02:00:00,332.914,383.094
2024-05-19 03:00:00,333.195,376.58
2024-05-19 04:00:00,333.718,376.287
2024-05-19 05:00:00,334.476,376.26
2024-05-19 06:00:00,334.755,381.033
2024-05-19 07:00:00,334.321,378.721
2024-05-19 08:00:00,333.354,378.555
2024-05-19 09:00:00,333.321,378.186
2024-05-19 10:00:00,332.38,380.207
2024-05-19 11:00:00,330.737,379.272
2024-05-19 12:00:00,329.515,375.501
2024-05-19 13:00:00,331.261,372.83
2024-05-19 14:00:00,335.218,373.102
2024-05-19 15:00:00,336.442,369.247
2024-05-19 16:00:00,336.865,369.587
2024-05-19 17:00:00,336.887,371.028
2024-05-19 18:00:00,334.642,372.992
2024-05-19 19:00:00,330.84,379.704
2024-05-19 20:00:00,329.369,385.506
2024-05-19 21:00:00,329.558,394.317
2024-05-19 22:00:00,328.956,396.446
2024-05-19 23:00:00,327.574,398.54
2024-05-20 00:00:00,326.688,401.802
2024-05-20 01:00:00,327.34,404.537
2024-05-20 02:00:00,325.841,409.899
2024-05-20 03:00:00,326.02,403.42
2024-05-20 04:00:00,327.355,408.578
2024-05-20 05:00:00,327.885,412.443
2024-05-20 06:00:00,327.782,418.05
2024-05-20 07:00:00,326.961,418.866
2024-05-20 08:00:00,326.847,418.001
2024-05-20 09:00:00,326.423,416.112
2024-05-20 10:00:00,326.165,413.756
2024-05-20 11:00:00,326.116,405.132
2024-05-20 12:00:00,326.871,403.845
2024-05-20 13:00:00,328.671,400.043
2024-05-20 14:00:00,331.18,392.889
2024-05-20 15:00:00,333.238,390.458
2024-05-20 16:00:00,333.515,385.284
2024-05-20 17:00:00,333.545,384.081
2024-05-20 18:00:00,332.755,384.996
2024-05-20 19:00:00,329.963,386.77
2024-05-20 20:00:00,327.386,392.364
2024-05-20 21:00:00,325.303,389.071
2024-05-20 22:00:00,325.386,390.86
2024-05-20 23:00:00,324.226,394.715
2024-05-21 00:00:00,322.381,392.653
