time,24bspr2a_rcmsg_0052m,24bspr2a_s16_0001m,24bspr2a_s37_0053m
2024-04-28 00:00:00,,8.037,
2024-04-28 01:00:00,,7.814,
2024-04-28 02:00:00,,7.419,
2024-04-28 03:00:00,,6.824,
2024-04-28 04:00:00,,6.622,
2024-04-28 05:00:00,,6.284,
2024-04-28 06:00:00,,5.495,
2024-04-28 07:00:00,,5.438,
2024-04-28 08:00:00,,5.191,
2024-04-28 09:00:00,,4.854,
2024-04-28 10:00:00,,5.254,
2024-04-28 11:00:00,,5.395,
2024-04-28 12:00:00,,6.33,
2024-04-28 13:00:00,,6.83,
2024-04-28 14:00:00,,6.679,
2024-04-28 15:00:00,,6.743,
2024-04-28 16:00:00,,7.223,
2024-04-28 17:00:00,,11.455,
2024-04-28 18:00:00,,13.108,
2024-04-28 19:00:00,,12.905,
2024-04-28 20:00:00,,12.882,
2024-04-28 21:00:00,,14.031,
2024-04-28 22:00:00,,14.901,
2024-04-28 23:00:00,,16.282,
2024-04-29 00:00:00,,16.115,
2024-04-29 01:00:00,,13.906,
2024-04-29 02:00:00,,13.407,
2024-04-29 03:00:00,,12.539,
2024-04-29 04:00:00,,12.387,
2024-04-29 05:00:00,,11.782,
2024-04-29 06:00:00,,11.191,
2024-04-29 07:00:00,,9.599,
2024-04-29 08:00:00,,8.12,
2024-04-29 09:00:00,,6.827,
2024-04-29 10:00:00,,5.922,
2024-04-29 11:00:00,,5.196,
2024-04-29 12:00:00,,4.502,
2024-04-29 13:00:00,,3.881,
2024-04-29 14:00:00,,3.493,
2024-04-29 15:00:00,,3.564,
2024-04-29 16:00:00,,4.061,
2024-04-29 17:00:00,,7.094,
2024-04-29 18:00:00,,9.705,
2024-04-29 19:00:00,,10.281,
2024-04-29 20:00:00,,11.342,
2024-04-29 21:00:00,,12.832,
2024-04-29 22:00:00,,14.831,
2024-04-29 23:00:00,,16.87,
2024-04-30 00:00:00,15.165,15.853,13.24
2024-04-30 01:00:00,13.06,13.021,12.192
2024-04-30 02:00:00,11.618,11.21,11.434
2024-04-30 03:00:00,10.125,9.358,9.999
2024-04-30 04:00:00,8.994,8.694,9.256
2024-04-30 05:00:00,7.839,7.872,8.286
2024-04-30 06:00:00,6.846,6.914,7.619
2024-04-30 07:00:00,5.987,6.009,6.73
2024-04-30 08:00:00,5.504,5.775,6.388
2024-04-30 09:00:00,5.517,5.751,6.185
2024-04-30 10:00:00,5.568,5.786,5.997
2024-04-30 11:00:00,5.397,5.646,5.865
2024-04-30 12:00:00,5.228,5.405,5.664
2024-04-30 13:00:00,5.004,5.054,5.412
2024-04-30 14:00:00,4.767,4.686,5.081
2024-04-30 15:00:00,4.76,4.623,4.894
2024-04-30 16:00:00,4.938,4.767,4.785
2024-04-30 17:00:00,5.676,5.208,5.033
2024-04-30 18:00:00,7.786,7.224,5.976
2024-04-30 19:00:00,10.116,8.39,7.401
2024-04-30 20:00:00,10.419,8.423,7.946
2024-04-30 21:00:00,10.119,8.432,7.803
2024-04-30 22:00:00,10.063,8.998,8.217
2024-04-30 23:00:00,9.537,9.538,8.082
2024-05-01 00:00:00,9.084,8.789,6.91
2024-05-01 01:00:00,7.749,6.721,6.735
2024-05-01 02:00:00,6.988,6.637,6.142
2024-05-01 03:00:00,6.537,6.6,6.18
2024-05-01 04:00:00,6.305,6.244,6.038
2024-05-01 05:00:00,6.113,5.907,6.014
2024-05-01 06:00:00,5.6,5.644,5.799
2024-05-01 07:00:00,4.854,5.15,5.212
2024-05-01 08:00:00,4.744,5.054,5.239
2024-05-01 09:00:00,4.604,4.901,5.209
2024-05-01 10:00:00,4.54,4.704,4.952
2024-05-01 11:00:00,4.533,4.682,4.876
2024-05-01 12:00:00,4.424,4.594,4.73
2024-05-01 13:00:00,4.432,4.701,4.764
2024-05-01 14:00:00,4.624,4.902,5.096
2024-05-01 15:00:00,4.819,5.067,5.138
2024-05-01 16:00:00,5.066,5.355,5.236
2024-05-01 17:00:00,5.251,5.512,5.511
2024-05-01 18:00:00,5.357,5.614,5.38
2024-05-01 19:00:00,6.267,6.619,5.897
2024-05-01 20:00:00,6.916,7.299,6.456
2024-05-01 21:00:00,6.765,7.21,6.503
2024-05-01 22:00:00,6.07,6.396,6.263
2024-05-01 23:00:00,5.79,6.139,5.949
2024-05-02 00:00:00,5.626,5.743,5.83
2024-05-02 01:00:00,5.428,5.582,5.595
2024-05-02 02:00:00,5.292,5.427,5.514
2024-05-02 03:00:00,5.161,5.308,5.368
2024-05-02 04:00:00,5.119,5.288,5.414
2024-05-02 05:00:00,5.164,5.324,5.43
2024-05-02 06:00:00,5.151,5.298,5.503
2024-05-02 07:00:00,5.118,5.246,5.37
2024-05-02 08:00:00,4.909,5.138,5.153
2024-05-02 09:00:00,5.024,5.18,5.252
2024-05-02 10:00:00,4.689,4.73,5.111
2024-05-02 11:00:00,4.259,4.434,4.504
2024-05-02 12:00:00,4.198,4.376,4.508
2024-05-02 13:00:00,4.158,4.34,4.474
2024-05-02 14:00:00,3.757,3.8,4.046
2024-05-02 15:00:00,3.408,3.465,3.599
2024-05-02 16:00:00,3.481,3.666,3.766
2024-05-02 17:00:00,3.95,4.188,4.159
2024-05-02 18:00:00,4.146,4.359,4.252
2024-05-02 19:00:00,4.386,4.661,4.543
