time,24kum2a_an9_0005m,24kum2a_an9_0029m
2024-05-16 18:00:00,357.615,366.31
2024-05-16 19:00:00,358.794,367.854
2024-05-16 20:00:00,359.996,369.005
2024-05-16 21:00:00,361.141,369.376
2024-05-16 22:00:00,361.18,369.38
2024-05-16 23:00:00,361.522,369.751
2024-05-17 00:00:00,362.298,370.89
2024-05-17 01:00:00,361.85,371.281
2024-05-17 02:00:00,361.924,371.662
2024-05-17 03:00:00,361.494,371.66
2024-05-17 04:00:00,361.865,372.082
2024-05-17 05:00:00,361.166,372.081
2024-05-17 06:00:00,362.315,371.739
2024-05-17 07:00:00,361.964,371.754
2024-05-17 08:00:00,361.587,371.766
2024-05-17 09:00:00,361.993,371.773
2024-05-17 10:00:00,362.004,371.761
2024-05-17 11:00:00,361.587,371.753
2024-05-17 12:00:00,361.566,371.725
2024-05-17 13:00:00,361.94,370.938
2024-05-17 14:00:00,361.512,370.15
2024-05-17 15:00:00,359.952,369.374
2024-05-17 16:00:00,357.622,369.011
2024-05-17 17:00:00,357.239,369.011
2024-05-17 18:00:00,358.412,369.803
2024-05-17 19:00:00,359.588,370.203
2024-05-17 20:00:00,360.768,370.598
2024-05-17 21:00:00,361.566,371.371
2024-05-17 22:00:00,361.95,371.366
2024-05-17 23:00:00,361.58,371.356
2024-05-18 00:00:00,361.941,372.133
2024-05-18 01:00:00,361.508,372.903
2024-05-18 02:00:00,361.498,373.27
2024-05-18 03:00:00,361.487,373.277
2024-05-18 04:00:00,360.706,372.894
2024-05-18 05:00:00,360.331,372.516
2024-05-18 06:00:00,360.352,372.532
2024-05-18 07:00:00,359.988,372.534
2024-05-18 08:00:00,359.624,372.189
2024-05-18 09:00:00,359.254,371.817
2024-05-18 10:00:00,358.866,371.81
2024-05-18 11:00:00,358.471,371.42
2024-05-18 12:00:00,358.838,371.402
2024-05-18 13:00:00,358.817,371.383
2024-05-18 14:00:00,358.024,370.975
2024-05-18 15:00:00,356.48,369.8
2024-05-18 16:00:00,355.319,368.252
2024-05-18 17:00:00,354.552,367.483
2024-05-18 18:00:00,354.562,367.492
2024-05-18 19:00:00,355.734,368.275
2024-05-18 20:00:00,357.688,369.047
2024-05-18 21:00:00,358.857,369.833
2024-05-18 22:00:00,359.67,370.631
2024-05-18 23:00:00,360.513,370.634
2024-05-19 00:00:00,361.279,371.009
2024-05-19 01:00:00,361.233,371.79
2024-05-19 02:00:00,361.653,372.158
2024-05-19 03:00:00,361.645,372.167
2024-05-19 04:00:00,361.252,371.778
2024-05-19 05:00:00,361.274,371.777
2024-05-19 06:00:00,361.256,372.17
2024-05-19 07:00:00,360.884,371.803
2024-05-19 08:00:00,360.877,371.817
