time,24kum2a_s37_0002m,24kum2a_s37_0030m
2024-05-16 18:00:00,31.276,31.289
2024-05-16 19:00:00,31.268,31.288
2024-05-16 20:00:00,31.265,31.289
2024-05-16 21:00:00,31.262,31.294
2024-05-16 22:00:00,31.274,31.298
2024-05-16 23:00:00,31.292,31.303
2024-05-17 00:00:00,31.298,31.308
2024-05-17 01:00:00,31.31,31.312
2024-05-17 02:00:00,31.315,31.312
2024-05-17 03:00:00,31.302,31.311
2024-05-17 04:00:00,31.299,31.303
2024-05-17 05:00:00,31.286,31.297
2024-05-17 06:00:00,31.28,31.288
2024-05-17 07:00:00,31.269,31.283
2024-05-17 08:00:00,31.263,31.28
2024-05-17 09:00:00,31.261,31.279
2024-05-17 10:00:00,31.264,31.284
2024-05-17 11:00:00,31.27,31.288
2024-05-17 12:00:00,31.278,31.296
2024-05-17 13:00:00,31.288,31.303
2024-05-17 14:00:00,31.298,31.309
2024-05-17 15:00:00,31.306,31.31
2024-05-17 16:00:00,31.304,31.306
2024-05-17 17:00:00,31.295,31.307
2024-05-17 18:00:00,31.287,31.299
2024-05-17 19:00:00,31.278,31.294
2024-05-17 20:00:00,31.274,31.29
2024-05-17 21:00:00,31.27,31.291
2024-05-17 22:00:00,31.276,31.292
2024-05-17 23:00:00,31.28,31.296
2024-05-18 00:00:00,31.287,31.299
2024-05-18 01:00:00,31.293,31.304
2024-05-18 02:00:00,31.302,31.31
2024-05-18 03:00:00,31.304,31.313
2024-05-18 04:00:00,31.303,31.313
2024-05-18 05:00:00,31.299,31.309
2024-05-18 06:00:00,31.291,31.302
2024-05-18 07:00:00,31.284,31.295
2024-05-18 08:00:00,31.276,31.289
2024-05-18 09:00:00,31.274,31.286
2024-05-18 10:00:00,31.275,31.288
2024-05-18 11:00:00,31.28,31.291
2024-05-18 12:00:00,31.286,31.298
2024-05-18 13:00:00,31.294,31.305
2024-05-18 14:00:00,31.302,31.313
2024-05-18 15:00:00,31.302,31.32
2024-05-18 16:00:00,31.308,31.323
2024-05-18 17:00:00,31.306,31.322
2024-05-18 18:00:00,31.3,31.318
2024-05-18 19:00:00,31.296,31.313
2024-05-18 20:00:00,31.288,31.306
2024-05-18 21:00:00,31.282,31.3
2024-05-18 22:00:00,31.273,31.296
2024-05-18 23:00:00,31.281,31.296
2024-05-19 00:00:00,31.277,31.3
2024-05-19 01:00:00,31.289,31.303
2024-05-19 02:00:00,31.313,31.307
2024-05-19 03:00:00,31.299,31.31
2024-05-19 04:00:00,31.302,31.31
2024-05-19 05:00:00,31.3,31.31
2024-05-19 06:00:00,31.294,31.306
2024-05-19 07:00:00,31.288,31.3
2024-05-19 08:00:00,31.279,31.295
2024-05-19 09:00:00,31.273,31.292
2024-05-19 10:00:00,31.273,31.291
2024-05-19 11:00:00,31.276,31.294
2024-05-19 12:00:00,31.281,31.299
2024-05-19 13:00:00,31.286,31.303
2024-05-19 14:00:00,31.292,31.307
2024-05-19 15:00:00,31.297,31.311
2024-05-19 16:00:00,31.3,31.312
2024-05-19 17:00:00,31.299,31.311
2024-05-19 18:00:00,31.299,31.308
2024-05-19 19:00:00,31.291,31.304
2024-05-19 20:00:00,31.287,31.302
2024-05-19 21:00:00,31.283,31.296
2024-05-19 22:00:00,31.279,31.29
2024-05-19 23:00:00,31.273,31.29
2024-05-20 00:00:00,31.275,31.29
2024-05-20 01:00:00,31.28,31.292
2024-05-20 02:00:00,31.297,31.296
2024-05-20 03:00:00,31.296,31.301
2024-05-20 04:00:00,31.298,31.303
2024-05-20 05:00:00,31.305,31.303
2024-05-20 06:00:00,31.294,31.301
2024-05-20 07:00:00,31.29,31.298
2024-05-20 08:00:00,31.288,31.293
2024-05-20 09:00:00,31.286,31.292
2024-05-20 10:00:00,31.278,31.29
2024-05-20 11:00:00,31.277,31.29
