time,24kum2a_an9_0005m,24kum2a_an9_0029m,24kum2a_s37_0002m,24kum2a_s37_0030m,24kum2a_s56_0010m,24kum2a_s56_0015m
2024-03-26 19:00:00,18.351,,,,,
2024-03-26 20:00:00,18.301,,,,,
2024-03-26 21:00:00,18.376,,,,,
2024-03-26 22:00:00,18.401,,,,,
2024-03-26 23:00:00,18.452,18.998,,,,
2024-03-27 00:00:00,18.552,18.672,,,,
2024-03-27 01:00:00,18.276,18.347,,,,
2024-03-27 02:00:00,18.076,18.098,,,,
2024-03-27 03:00:00,17.927,17.973,,,,
2024-03-27 04:00:00,17.827,17.849,,,,
2024-03-27 05:00:00,17.727,17.75,,,,
2024-03-27 06:00:00,17.653,17.675,,,,
2024-03-27 07:00:00,17.603,17.626,,,,
2024-03-27 08:00:00,17.553,17.576,,,,
2024-03-27 09:00:00,17.528,17.527,,,,
2024-03-27 10:00:00,17.479,17.502,,,,
2024-03-27 11:00:00,17.429,17.452,,,,
2024-03-27 12:00:00,17.429,17.452,,,,
2024-03-27 13:00:00,17.404,17.403,,,,
2024-03-27 14:00:00,17.429,17.428,,,,
2024-03-27 15:00:00,17.429,17.452,,,,
2024-03-27 16:00:00,17.504,17.527,,,,
2024-03-27 17:00:00,17.677,17.477,,,,
2024-03-27 18:00:00,17.827,17.304,,,,
2024-03-27 19:00:00,17.927,17.279,,,,
2024-03-27 20:00:00,18.001,17.353,,,,
2024-03-27 21:00:00,18.076,17.353,,,,
2024-03-27 22:00:00,18.076,17.304,,,,
2024-03-27 23:00:00,18.176,17.477,,,,
2024-03-28 00:00:00,18.326,17.7,,,,
2024-03-28 01:00:00,18.151,17.75,,,,
2024-03-28 02:00:00,17.976,17.65,,,,
2024-03-28 03:00:00,17.852,17.551,,,,
2024-03-28 04:00:00,17.727,17.452,,,,
2024-03-28 05:00:00,17.628,17.353,,,,
2024-03-28 06:00:00,17.528,17.23,,,,
2024-03-28 07:00:00,17.479,17.181,,,,
2024-03-28 08:00:00,17.429,17.107,,,,
2024-03-28 09:00:00,17.355,17.057,,,,
2024-03-28 10:00:00,17.305,17.008,,,,
2024-03-28 11:00:00,17.28,16.959,,,,
2024-03-28 12:00:00,17.206,16.91,,,,
2024-03-28 13:00:00,17.181,16.86,,,,
2024-03-28 14:00:00,17.256,16.959,,,,
2024-03-28 15:00:00,17.28,17.033,,,,
2024-03-28 16:00:00,17.33,17.082,,,,
2024-03-28 17:00:00,17.479,17.156,,,,
2024-03-28 18:00:00,14.082,14.042,,,,
2024-03-28 19:00:00,12.357,12.371,,,,
2024-03-28 20:00:00,11.929,11.944,,,,
2024-03-28 21:00:00,11.715,11.684,,,,
2024-03-28 22:00:00,11.36,11.377,,,,
2024-03-28 23:00:00,11.739,11.684,,,,
2024-03-29 00:00:00,12.19,12.087,,,,
2024-03-29 01:00:00,12.357,12.253,,,,
2024-03-29 02:00:00,12.429,12.348,,,,
2024-03-29 03:00:00,12.429,12.395,,,,
2024-03-29 04:00:00,12.238,12.253,,,,
2024-03-29 05:00:00,12.0,12.039,,,,
2024-03-29 06:00:00,11.834,11.873,,,,
2024-03-29 07:00:00,11.668,11.731,,,,
2024-03-29 08:00:00,11.431,11.519,,,,
2024-03-29 09:00:00,11.241,11.33,,,,
2024-03-29 10:00:00,11.099,11.165,,,,
2024-03-29 11:00:00,10.981,11.047,,,,
2024-03-29 12:00:00,10.839,10.929,,,,
2024-03-29 13:00:00,10.769,10.858,,,,
2024-03-29 14:00:00,10.769,10.835,,,,
2024-03-29 15:00:00,10.839,10.905,,,,
2024-03-29 16:00:00,11.147,11.306,,,,
2024-03-29 17:00:00,11.36,11.33,,,,
2024-03-29 18:00:00,11.881,11.708,,,,
2024-03-29 19:00:00,12.333,12.087,,,,
2024-03-29 20:00:00,12.715,12.49,,,,
2024-03-29 21:00:00,13.073,12.847,,,,
2024-03-29 22:00:00,13.361,13.228,,,,
2024-03-29 23:00:00,13.625,13.491,,,,
2024-03-30 00:00:00,14.058,14.235,,,,
2024-03-30 01:00:00,14.275,14.379,,,,
2024-03-30 02:00:00,14.299,14.235,,,,
2024-03-30 03:00:00,14.275,14.259,,,,
2024-03-30 04:00:00,14.13,14.018,,,,
2024-03-30 05:00:00,13.865,13.731,,,,
2024-03-30 06:00:00,13.576,13.372,,,,
2024-03-30 07:00:00,13.289,13.014,,,,
2024-03-30 08:00:00,12.954,12.656,,,,
2024-03-30 09:00:00,12.643,12.348,,,,
2024-03-30 10:00:00,12.357,12.039,,,,
2024-03-30 11:00:00,12.048,11.731,,,,
2024-03-30 12:00:00,11.715,11.33,,,,
2024-03-30 13:00:00,11.36,10.905,,,,
2024-03-30 14:00:00,11.052,10.552,,,,
2024-03-30 15:00:00,10.816,10.458,,,,
2024-03-30 16:00:00,11.005,11.259,,,,
2024-03-30 17:00:00,11.549,11.566,,,,
2024-03-30 18:00:00,11.881,11.944,,,,
2024-03-30 19:00:00,12.238,12.371,,,,
2024-03-30 20:00:00,12.643,12.799,,,,
2024-03-30 21:00:00,13.025,13.204,,,,
2024-03-30 22:00:00,13.385,13.563,,,,
2024-03-30 23:00:00,13.697,13.874,,,,
2024-03-31 00:00:00,13.937,14.09,,,,
2024-03-31 01:00:00,14.058,14.211,,,,
2024-03-31 02:00:00,14.082,14.211,,,,
2024-03-31 03:00:00,14.058,14.163,,,,
2024-03-31 04:00:00,13.913,13.922,,,,
2024-03-31 05:00:00,13.673,13.587,,,,
2024-03-31 06:00:00,13.385,13.157,,,,
2024-03-31 07:00:00,12.978,12.633,,,,
2024-03-31 08:00:00,12.595,12.229,,,,
2024-03-31 09:00:00,12.262,11.897,,,,
2024-03-31 10:00:00,11.953,11.566,,,,
2024-03-31 11:00:00,11.573,11.141,,,,
2024-03-31 12:00:00,11.218,10.741,,,,
2024-03-31 13:00:00,10.887,10.364,,,,
2024-03-31 14:00:00,10.674,10.27,,,,
2024-03-31 15:00:00,10.627,10.388,,,,
2024-03-31 16:00:00,10.981,11.802,,,,
2024-03-31 17:00:00,11.502,11.826,,,,
2024-03-31 18:00:00,11.834,12.134,,,,
2024-03-31 19:00:00,12.238,12.49,,,,
2024-03-31 20:00:00,12.643,12.871,,,,
2024-03-31 21:00:00,13.049,13.252,,,,
2024-03-31 22:00:00,13.433,13.635,,,,
2024-03-31 23:00:00,13.841,14.018,,,,
2024-04-01 00:00:00,14.202,14.379,,,,
2024-04-01 01:00:00,14.516,14.692,,,,
2024-04-01 02:00:00,14.71,14.886,,,,
2024-04-01 03:00:00,14.734,14.91,,,,
2024-04-01 04:00:00,14.661,14.813,,,,
2024-04-01 05:00:00,14.468,14.572,,,,
2024-04-01 06:00:00,14.226,14.163,,,,
2024-04-01 07:00:00,13.889,13.731,,,,
2024-04-01 08:00:00,13.504,13.252,,,,
2024-04-01 09:00:00,13.097,12.704,,,,
2024-04-01 10:00:00,12.643,12.276,,,,
2024-04-01 11:00:00,12.286,11.897,,,,
2024-04-01 12:00:00,11.953,11.566,,,,
2024-04-01 13:00:00,11.644,11.259,,,,
2024-04-01 14:00:00,11.478,11.212,,,,
2024-04-01 15:00:00,11.241,10.694,,,,
2024-04-01 16:00:00,11.076,10.67,,,,
2024-04-01 17:00:00,11.194,11.023,,,,
2024-04-01 18:00:00,11.478,11.519,,,,
2024-04-01 19:00:00,11.905,12.087,,,,
2024-04-01 20:00:00,12.595,12.847,,,,
2024-04-01 21:00:00,13.097,13.276,,,,
2024-04-01 22:00:00,13.48,13.611,,,,
2024-04-01 23:00:00,14.033,14.163,,,,
