time,24upp3a_s37_0070m,24upp3a_scal_0066m
2024-04-22 01:00:00,,6.63
2024-04-22 02:00:00,,6.67
2024-04-22 03:00:00,,6.6
2024-04-22 04:00:00,,6.5
2024-04-22 05:00:00,,6.44
2024-04-22 06:00:00,,6.33
2024-04-22 07:00:00,,6.23
2024-04-22 08:00:00,,6.04
2024-04-22 09:00:00,,5.78
2024-04-22 10:00:00,,5.51
2024-04-22 11:00:00,,5.22
2024-04-22 12:00:00,,4.83
2024-04-22 13:00:00,,4.38
2024-04-22 14:00:00,,4.02
2024-04-22 15:00:00,,3.74
2024-04-22 16:00:00,,3.6
2024-04-22 17:00:00,,3.64
2024-04-22 18:00:00,,3.72
2024-04-22 19:00:00,,3.8
2024-04-22 20:00:00,,3.92
2024-04-22 21:00:00,,4.03
2024-04-22 22:00:00,,4.17
2024-04-22 23:00:00,,4.34
2024-04-23 00:00:00,,4.5
2024-04-23 01:00:00,,4.64
2024-04-23 02:00:00,,4.76
2024-04-23 03:00:00,,4.87
2024-04-23 04:00:00,,4.95
2024-04-23 05:00:00,,4.96
2024-04-23 06:00:00,,4.94
2024-04-23 07:00:00,,4.92
2024-04-23 08:00:00,,4.9
2024-04-23 09:00:00,,4.88
2024-04-23 10:00:00,,4.85
2024-04-23 11:00:00,,4.83
2024-04-23 12:00:00,,4.82
2024-04-23 13:00:00,,4.81
2024-04-23 14:00:00,,4.8
2024-04-23 15:00:00,,4.81
2024-04-23 16:00:00,,4.83
2024-04-23 17:00:00,,4.9
2024-04-23 18:00:00,,5.05
2024-04-23 19:00:00,,6.32
2024-04-23 20:00:00,,7.42
2024-04-23 21:00:00,,7.53
2024-04-23 22:00:00,,7.38
2024-04-23 23:00:00,,7.38
2024-04-24 00:00:00,,8.09
2024-04-24 01:00:00,,8.12
2024-04-24 02:00:00,,7.84
2024-04-24 03:00:00,,7.22
2024-04-24 04:00:00,,6.74
2024-04-24 05:00:00,,6.37
2024-04-24 06:00:00,,6.16
2024-04-24 07:00:00,,6.03
2024-04-24 08:00:00,,5.91
2024-04-24 09:00:00,,5.78
2024-04-24 10:00:00,,5.63
2024-04-24 11:00:00,,5.51
2024-04-24 12:00:00,,5.38
2024-04-24 13:00:00,,5.12
2024-04-24 14:00:00,,4.96
2024-04-24 15:00:00,,4.97
2024-04-24 16:00:00,,5.31
2024-04-24 17:00:00,,5.46
2024-04-24 18:00:00,,5.7
2024-04-24 19:00:00,,6.07
2024-04-24 20:00:00,,6.52
2024-04-24 21:00:00,,6.81
2024-04-24 22:00:00,,7.41
2024-04-24 23:00:00,,7.6
2024-04-25 00:00:00,,7.3
2024-04-25 01:00:00,,7.0
2024-04-25 02:00:00,,6.81
2024-04-25 03:00:00,,6.38
2024-04-25 04:00:00,,5.95
2024-04-25 05:00:00,,5.62
2024-04-25 06:00:00,,5.22
2024-04-25 07:00:00,,4.89
2024-04-25 08:00:00,,4.69
2024-04-25 09:00:00,,4.51
2024-04-25 10:00:00,,4.38
2024-04-25 11:00:00,,4.31
2024-04-25 12:00:00,,4.22
2024-04-25 13:00:00,,4.1
2024-04-25 14:00:00,,3.89
2024-04-25 15:00:00,,3.9
2024-04-25 16:00:00,,3.94
2024-04-25 17:00:00,,4.24
2024-04-25 18:00:00,,4.7
2024-04-25 19:00:00,,5.33
2024-04-25 20:00:00,,6.24
2024-04-25 21:00:00,,7.23
2024-04-25 22:00:00,,7.57
2024-04-25 23:00:00,,7.78
2024-04-26 00:00:00,,7.56
2024-04-26 01:00:00,,7.43
2024-04-26 02:00:00,,7.03
2024-04-26 03:00:00,,6.21
2024-04-26 04:00:00,,6.16
2024-04-26 05:00:00,,6.11
2024-04-26 06:00:00,,5.84
2024-04-26 07:00:00,,5.18
2024-04-26 08:00:00,,4.7
2024-04-26 09:00:00,,4.15
2024-04-26 10:00:00,,3.55
2024-04-26 11:00:00,,3.41
2024-04-26 12:00:00,,3.28
2024-04-26 13:00:00,,3.42
2024-04-26 14:00:00,,3.4
2024-04-26 15:00:00,,3.77
2024-04-26 16:00:00,,4.2
2024-04-26 17:00:00,,4.61
2024-04-26 18:00:00,,4.99
2024-04-26 19:00:00,,5.05
2024-04-26 20:00:00,,5.37
2024-04-26 21:00:00,,5.09
2024-04-26 22:00:00,,5.06
2024-04-26 23:00:00,,4.87
2024-04-27 00:00:00,,4.67
2024-04-27 01:00:00,,4.24
2024-04-27 02:00:00,,3.77
2024-04-27 03:00:00,,3.91
2024-04-27 04:00:00,,3.95
2024-04-27 05:00:00,,3.91
2024-04-27 06:00:00,,3.87
2024-04-27 07:00:00,,3.77
2024-04-27 08:00:00,,3.69
2024-04-27 09:00:00,,3.73
2024-04-27 10:00:00,,3.99
2024-04-27 11:00:00,,4.22
2024-04-27 12:00:00,,4.33
2024-04-27 13:00:00,,4.38
2024-04-27 14:00:00,,4.34
2024-04-27 15:00:00,,4.37
2024-04-27 16:00:00,,4.46
2024-04-27 17:00:00,,4.7
2024-04-27 18:00:00,,4.91
2024-04-27 19:00:00,,5.83
2024-04-27 20:00:00,,6.28
2024-04-27 21:00:00,,6.43
2024-04-27 22:00:00,,6.77
2024-04-27 23:00:00,,7.03
2024-04-28 00:00:00,,7.42
2024-04-28 01:00:00,,7.56
2024-04-28 02:00:00,,7.55
2024-04-28 03:00:00,,7.4
2024-04-28 04:00:00,,7.27
2024-04-28 05:00:00,,7.05
2024-04-28 06:00:00,,6.67
2024-04-28 07:00:00,,6.5
2024-04-28 08:00:00,,6.09
2024-04-28 09:00:00,,5.75
2024-04-28 10:00:00,,5.63
2024-04-28 11:00:00,,5.63
2024-04-28 12:00:00,,5.88
2024-04-28 13:00:00,,6.03
2024-04-28 14:00:00,,6.05
2024-04-28 15:00:00,,6.57
